"Figure 15. Mean number of vehicles on the complete set of 92 Schneider instances. External constructive results are taken from [11], while the RP results are from [9,10] and the VNS/TS results from [4].",Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,,,,,,,,,,,,
Method,Mean,Total,,,,,,,,,,
Avg. RP,9.113260869565218,838.4200000000001,,,,,,,,,,
Best Ensemble,7.978260869565218,734,,,,,,,,,,
Avg. Ensemble,8.500447569989133,782.0411764390002,,,,,,,,,,
PEGA-EV,8.847826086956522,814,,,,,,,,,,
EDD,9.728260869565217,895,,,,,,,,,,
NN (PEGA-EV),11.967391304347826,1101,,,,,,,,,,
RS,15.98913043478261,1471,,,,,,,,,,
VNS/TS,5.576086956521739,513,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Instance,Class,Subtype,Scale,Customers,Avg. RP,Best Ensemble,Avg. Ensemble,PEGA-EV,EDD,NN (PEGA-EV),RS,VNS/TS
r201_21,R,R2,Large (100 customers),100,6.34,4,4.92745098,7,6,14,19,3
r202_21,R,R2,Large (100 customers),100,6.28,4,4.480392157,6,8,13,17,3
r203_21,R,R2,Large (100 customers),100,5.4,4,4.425490196,5,7,11,16,3
r204_21,R,R2,Large (100 customers),100,4.52,3,3.519607843,4,7,8,12,2
r205_21,R,R2,Large (100 customers),100,4.72,3,3.674509804,4,5,9,12,3
r206_21,R,R2,Large (100 customers),100,4.72,4,3.739215686,4,7,8,13,3
r207_21,R,R2,Large (100 customers),100,3.94,3,3.276470588,4,7,7,11,2
r208_21,R,R2,Large (100 customers),100,3.86,3,3.137254902,4,5,6,10,2
r209_21,R,R2,Large (100 customers),100,4.52,3,3.61372549,4,6,7,10,3
r210_21,R,R2,Large (100 customers),100,4.92,4,3.982352941,5,6,7,12,3
r211_21,R,R2,Large (100 customers),100,3.64,3,3.21372549,3,5,5,8,2
rc101_21,RC,RC1,Large (100 customers),100,25.72,25,25.39411765,26,27,29,36,16
rc102_21,RC,RC1,Large (100 customers),100,24.7,24,22.84705882,23,25,29,35,15
rc103_21,RC,RC1,Large (100 customers),100,21.08,19,19.49803922,21,22,20,31,13
rc104_21,RC,RC1,Large (100 customers),100,18.44,17,17.42745098,19,20,19,25,11
rc105_21,RC,RC1,Large (100 customers),100,22.54,19,21.51960784,22,24,25,35,14
rc106_21,RC,RC1,Large (100 customers),100,21.04,19,19.91960784,21,23,22,32,13
rc107_21,RC,RC1,Large (100 customers),100,17.64,16,17.03333333,21,22,18,29,12
rc108_21,RC,RC1,Large (100 customers),100,16.98,16,16.70588235,17,21,17,23,11
rc201_21,RC,RC2,Large (100 customers),100,7.76,5,5.770588235,7,8,14,19,4
rc202_21,RC,RC2,Large (100 customers),100,7.16,5,5.517647059,6,8,14,20,3
rc203_21,RC,RC2,Large (100 customers),100,6.02,4,4.915686275,5,7,10,16,3
rc204_21,RC,RC2,Large (100 customers),100,5.32,4,4.231372549,6,6,11,12,3
rc205_21,RC,RC2,Large (100 customers),100,7.08,5,5.874509804,8,7,12,17,3
rc206_21,RC,RC2,Large (100 customers),100,5.64,4,4.468627451,4,6,8,15,3
rc207_21,RC,RC2,Large (100 customers),100,5.24,4,4.409803922,5,7,7,10,3
rc208_21,RC,RC2,Large (100 customers),100,4.26,3,3.449019608,4,7,5,9,3
,,,,Mean,9.113260869565218,7.978260869565218,8.500447569989133,8.847826086956522,9.728260869565217,11.967391304347826,15.98913043478261,5.576086956521739
,,,,Total,838.4200000000001,734,782.0411764390002,814,895,1101,1471,513
