"Figure 10 (right). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP depth. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
102,7.9,6.455555556,5.988888889,6.288888889,6.7
103,7.9,6.455555556,5.988888889,6.322222222,6.722222222
104,7.9,6.466666667,5.933333333,6.322222222,6.7
105,7.9,6.488888889,5.933333333,6.3,6.711111111
106,7.9,6.511111111,5.988888889,6.255555556,6.722222222
107,7.9,6.511111111,5.988888889,6.288888889,6.822222222
108,7.866666667,6.533333333,6.022222222,6.4,6.766666667
109,7.933333333,6.533333333,6.033333333,6.422222222,6.7
110,7.933333333,6.533333333,6.055555556,6.488888889,6.711111111
111,7.9,6.511111111,6.055555556,6.444444444,6.766666667
112,7.9,6.544444444,6.066666667,6.455555556,6.777777778
113,7.9,6.555555556,6.088888889,6.466666667,6.811111111
114,7.9,6.566666667,6.155555556,6.477777778,6.833333333
115,7.9,6.588888889,6.111111111,6.511111111,6.833333333
116,7.9,6.577777778,6.055555556,6.511111111,6.855555556
117,7.9,6.577777778,6.077777778,6.477777778,6.877777778
118,7.9,6.6,6.077777778,6.433333333,6.833333333
119,7.9,6.588888889,6.066666667,6.444444444,6.877777778
120,7.9,6.588888889,6.066666667,6.5,6.877777778
121,7.9,6.611111111,6.133333333,6.488888889,6.944444444
122,7.9,6.611111111,6.077777778,6.5,7
123,7.9,6.633333333,6.011111111,6.488888889,6.888888889
124,7.9,6.622222222,5.966666667,6.555555556,6.888888889
125,7.933333333,6.622222222,5.977777778,6.555555556,6.955555556
126,7.933333333,6.644444444,6.066666667,6.488888889,6.855555556
127,7.933333333,6.644444444,6.133333333,6.5,6.8
128,7.933333333,6.633333333,6.144444444,6.566666667,6.922222222
129,7.933333333,6.622222222,6.133333333,6.566666667,6.944444444
130,7.933333333,6.644444444,6.133333333,6.5,6.944444444
131,7.933333333,6.688888889,6.2,6.555555556,7.033333333
132,7.933333333,6.677777778,6.233333333,6.611111111,7.066666667
133,7.9,6.655555556,6.244444444,6.611111111,7.077777778
134,7.9,6.655555556,6.233333333,6.622222222,7.088888889
135,7.9,6.666666667,6.2,6.6,7.122222222
136,7.9,6.633333333,6.122222222,6.622222222,7.111111111
