"Figure 10 (right). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP depth. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
466,8,6.977777778,7.177777778,7.288888889,7.566666667
467,8,6.988888889,7.177777778,7.288888889,7.566666667
468,8,6.988888889,7.188888889,7.288888889,7.566666667
469,8,6.988888889,7.188888889,7.288888889,7.566666667
470,8,6.988888889,7.188888889,7.288888889,7.566666667
471,8,6.988888889,7.2,7.288888889,7.566666667
472,8,6.988888889,7.2,7.288888889,7.566666667
473,8,7.011111111,7.211111111,7.288888889,7.566666667
474,8,7.011111111,7.222222222,7.288888889,7.577777778
475,8,7.011111111,7.222222222,7.288888889,7.588888889
476,8,7.011111111,7.222222222,7.288888889,7.588888889
477,8,7.011111111,7.222222222,7.3,7.588888889
478,8,7.011111111,7.222222222,7.3,7.588888889
479,8,7.011111111,7.222222222,7.3,7.633333333
480,8,7.011111111,7.222222222,7.3,7.633333333
481,8,7.011111111,7.222222222,7.3,7.633333333
482,8,7.011111111,7.222222222,7.3,7.622222222
483,8,7.011111111,7.222222222,7.3,7.622222222
484,8,7.011111111,7.222222222,7.3,7.622222222
485,8,7.011111111,7.222222222,7.311111111,7.622222222
486,8,7.011111111,7.222222222,7.311111111,7.622222222
487,8,7.011111111,7.222222222,7.322222222,7.622222222
488,8,7.011111111,7.211111111,7.322222222,7.622222222
489,8,7.011111111,7.211111111,7.322222222,7.622222222
490,8,7.022222222,7.211111111,7.322222222,7.622222222
491,8,7.022222222,7.211111111,7.322222222,7.611111111
492,8,7.022222222,7.211111111,7.322222222,7.611111111
493,8,7.022222222,7.2,7.322222222,7.611111111
494,8,7.033333333,7.2,7.322222222,7.611111111
495,8,7.022222222,7.188888889,7.322222222,7.611111111
496,8,7.022222222,7.188888889,7.322222222,7.611111111
497,8,7.033333333,7.188888889,7.322222222,7.611111111
498,8,7.033333333,7.211111111,7.4,7.611111111
499,8,7.066666667,7.211111111,7.366666667,7.611111111
500,8,7.066666667,7.211111111,7.366666667,7.611111111
501,8,7.066666667,7.2,7.377777778,7.6
502,8,7.066666667,7.211111111,7.4,7.6
503,8,7.077777778,7.233333333,7.4,7.611111111
504,8,7.077777778,7.233333333,7.422222222,7.611111111
505,8,7.066666667,7.233333333,7.422222222,7.611111111
506,8,7.066666667,7.233333333,7.422222222,7.611111111
507,8,7.066666667,7.233333333,7.422222222,7.622222222
508,8,7.066666667,7.255555556,7.422222222,7.622222222
509,8,7.055555556,7.255555556,7.422222222,7.622222222
510,8,7.055555556,7.255555556,7.422222222,7.622222222
511,8,7.055555556,7.255555556,7.422222222,7.622222222
512,8,7.055555556,7.255555556,7.422222222,7.633333333
513,8,7.055555556,7.266666667,7.422222222,7.633333333
514,8,7.055555556,7.266666667,7.422222222,7.633333333
515,8,7.077777778,7.266666667,7.422222222,7.633333333
516,8,7.077777778,7.277777778,7.422222222,7.633333333
517,8,7.077777778,7.3,7.422222222,7.633333333
518,8,7.077777778,7.3,7.444444444,7.655555556
519,8,7.077777778,7.322222222,7.422222222,7.666666667
520,8,7.088888889,7.322222222,7.4,7.655555556
521,8,7.1,7.333333333,7.355555556,7.655555556
522,8,7.1,7.333333333,7.4,7.655555556
523,8,7.1,7.333333333,7.4,7.655555556
524,8,7.1,7.333333333,7.4,7.677777778
525,8,7.111111111,7.333333333,7.4,7.677777778
526,8,7.111111111,7.344444444,7.4,7.677777778
527,8,7.111111111,7.355555556,7.4,7.677777778
528,8,7.111111111,7.355555556,7.4,7.677777778
529,8,7.111111111,7.355555556,7.4,7.677777778
530,8,7.111111111,7.355555556,7.4,7.677777778
531,8,7.111111111,7.355555556,7.4,7.677777778
532,8,7.111111111,7.355555556,7.4,7.677777778
533,8,7.111111111,7.355555556,7.4,7.655555556
534,8,7.111111111,7.355555556,7.4,7.655555556
535,8,7.111111111,7.355555556,7.4,7.655555556
536,8,7.111111111,7.355555556,7.422222222,7.7
537,8,7.111111111,7.344444444,7.422222222,7.7
538,8,7.111111111,7.344444444,7.422222222,7.7
539,8,7.111111111,7.344444444,7.422222222,7.7
540,8,7.111111111,7.344444444,7.422222222,7.7
541,8,7.111111111,7.344444444,7.444444444,7.7
542,8,7.111111111,7.344444444,7.444444444,7.7
543,8,7.111111111,7.344444444,7.444444444,7.7
544,8,7.111111111,7.344444444,7.455555556,7.7
545,8,7.111111111,7.344444444,7.466666667,7.7
546,8,7.111111111,7.344444444,7.477777778,7.7
547,8,7.111111111,7.344444444,7.5,7.7
548,8,7.111111111,7.344444444,7.5,7.7
549,8,7.111111111,7.344444444,7.488888889,7.711111111
550,8,7.111111111,7.344444444,7.5,7.711111111
551,8,7.111111111,7.344444444,7.5,7.711111111
552,8,7.111111111,7.344444444,7.5,7.711111111
553,8,7.111111111,7.355555556,7.5,7.7
554,8,7.122222222,7.355555556,7.488888889,7.688888889
555,8,7.122222222,7.355555556,7.488888889,7.688888889
556,8,7.122222222,7.355555556,7.488888889,7.688888889
557,8,7.122222222,7.355555556,7.488888889,7.688888889
558,8,7.122222222,7.355555556,7.5,7.688888889
559,8,7.122222222,7.355555556,7.5,7.7
560,8,7.122222222,7.355555556,7.5,7.7
561,8,7.122222222,7.366666667,7.5,7.711111111
562,8,7.133333333,7.366666667,7.5,7.711111111
563,8,7.155555556,7.366666667,7.5,7.711111111
564,8,7.155555556,7.366666667,7.5,7.711111111
565,8,7.155555556,7.366666667,7.5,7.711111111
566,8,7.155555556,7.366666667,7.5,7.711111111
567,8,7.155555556,7.366666667,7.5,7.711111111
568,8,7.155555556,7.366666667,7.5,7.711111111
569,8,7.155555556,7.366666667,7.5,7.7
570,8,7.155555556,7.366666667,7.5,7.7
571,8,7.155555556,7.366666667,7.5,7.7
572,8,7.155555556,7.366666667,7.5,7.7
573,8,7.155555556,7.366666667,7.5,7.7
574,8,7.155555556,7.366666667,7.5,7.7
575,8,7.155555556,7.377777778,7.5,7.7
576,8,7.155555556,7.377777778,7.5,7.688888889
577,8,7.155555556,7.4,7.5,7.688888889
578,8,7.155555556,7.4,7.5,7.688888889
579,8,7.144444444,7.4,7.5,7.688888889
580,8,7.144444444,7.4,7.5,7.688888889
581,8,7.144444444,7.4,7.5,7.677777778
582,8,7.155555556,7.4,7.5,7.677777778
583,8,7.155555556,7.4,7.5,7.677777778
584,8,7.155555556,7.4,7.5,7.677777778
585,8,7.155555556,7.4,7.5,7.677777778
586,8,7.155555556,7.4,7.5,7.677777778
587,8,7.144444444,7.4,7.5,7.677777778
588,8,7.144444444,7.4,7.5,7.677777778
589,8,7.155555556,7.4,7.5,7.677777778
590,8,7.155555556,7.4,7.5,7.666666667
591,8,7.155555556,7.4,7.5,7.666666667
592,8,7.155555556,7.411111111,7.5,7.666666667
593,8,7.2,7.411111111,7.488888889,7.666666667
594,8,7.2,7.411111111,7.488888889,7.666666667
595,8,7.2,7.411111111,7.488888889,7.666666667
596,8,7.2,7.411111111,7.488888889,7.666666667
597,8,7.211111111,7.411111111,7.488888889,7.666666667
598,8,7.233333333,7.411111111,7.488888889,7.666666667
599,8,7.233333333,7.411111111,7.488888889,7.666666667
600,8,7.233333333,7.411111111,7.488888889,7.666666667
601,8,7.233333333,7.422222222,7.488888889,7.655555556
602,8,7.233333333,7.422222222,7.488888889,7.655555556
603,8,7.244444444,7.422222222,7.488888889,7.666666667
604,8,7.244444444,7.422222222,7.488888889,7.666666667
605,8,7.244444444,7.422222222,7.488888889,7.7
606,8,7.244444444,7.422222222,7.488888889,7.7
607,8,7.244444444,7.422222222,7.488888889,7.7
608,8,7.233333333,7.422222222,7.488888889,7.7
609,8,7.233333333,7.422222222,7.488888889,7.7
610,8,7.233333333,7.422222222,7.488888889,7.7
611,8,7.211111111,7.422222222,7.488888889,7.7
612,8,7.211111111,7.422222222,7.488888889,7.7
613,8,7.211111111,7.422222222,7.488888889,7.7
614,8,7.211111111,7.422222222,7.488888889,7.7
615,8,7.211111111,7.422222222,7.488888889,7.7
616,8,7.211111111,7.422222222,7.5,7.7
617,8,7.211111111,7.422222222,7.5,7.7
618,8,7.211111111,7.422222222,7.5,7.7
619,8,7.211111111,7.422222222,7.5,7.7
620,8,7.211111111,7.422222222,7.466666667,7.7
621,8,7.177777778,7.422222222,7.544444444,7.7
622,8,7.222222222,7.422222222,7.544444444,7.7
623,8,7.211111111,7.422222222,7.544444444,7.7
624,8,7.2,7.422222222,7.544444444,7.7
625,8,7.2,7.422222222,7.544444444,7.655555556
626,8,7.2,7.422222222,7.544444444,7.655555556
627,8,7.211111111,7.422222222,7.544444444,7.655555556
628,8,7.211111111,7.422222222,7.544444444,7.655555556
629,8,7.211111111,7.422222222,7.544444444,7.655555556
630,8,7.211111111,7.422222222,7.544444444,7.655555556
631,8,7.211111111,7.422222222,7.544444444,7.655555556
632,8,7.211111111,7.422222222,7.544444444,7.655555556
633,8,7.211111111,7.422222222,7.544444444,7.677777778
634,8,7.2,7.422222222,7.544444444,7.677777778
635,8,7.211111111,7.422222222,7.544444444,7.677777778
636,8,7.211111111,7.422222222,7.544444444,7.677777778
637,8,7.211111111,7.422222222,7.544444444,7.677777778
638,8,7.211111111,7.422222222,7.544444444,7.677777778
639,8,7.211111111,7.422222222,7.544444444,7.677777778
640,8,7.211111111,7.422222222,7.522222222,7.7
641,8,7.211111111,7.422222222,7.522222222,7.7
642,8,7.188888889,7.422222222,7.511111111,7.7
643,8,7.188888889,7.422222222,7.522222222,7.711111111
644,8,7.188888889,7.422222222,7.522222222,7.711111111
645,8,7.2,7.422222222,7.522222222,7.711111111
646,8,7.2,7.422222222,7.522222222,7.711111111
647,8,7.2,7.422222222,7.522222222,7.722222222
648,8,7.2,7.422222222,7.522222222,7.722222222
649,8,7.2,7.422222222,7.522222222,7.722222222
650,8,7.2,7.422222222,7.522222222,7.744444444
651,8,7.2,7.422222222,7.522222222,7.744444444
652,8,7.2,7.422222222,7.522222222,7.744444444
653,8,7.2,7.422222222,7.522222222,7.744444444
654,8,7.2,7.422222222,7.522222222,7.722222222
655,8,7.2,7.422222222,7.522222222,7.722222222
656,8,7.211111111,7.422222222,7.522222222,7.722222222
657,8,7.211111111,7.422222222,7.522222222,7.722222222
658,8,7.211111111,7.422222222,7.511111111,7.722222222
659,8,7.211111111,7.422222222,7.511111111,7.722222222
660,8,7.211111111,7.422222222,7.511111111,7.722222222
661,8,7.211111111,7.422222222,7.488888889,7.722222222
662,8,7.211111111,7.422222222,7.488888889,7.711111111
663,8,7.211111111,7.422222222,7.488888889,7.711111111
664,8,7.211111111,7.422222222,7.488888889,7.711111111
665,8,7.211111111,7.422222222,7.511111111,7.722222222
666,8,7.222222222,7.422222222,7.511111111,7.733333333
667,8,7.222222222,7.422222222,7.5,7.733333333
668,8,7.233333333,7.422222222,7.477777778,7.733333333
669,8,7.233333333,7.422222222,7.477777778,7.733333333
670,8,7.244444444,7.422222222,7.477777778,7.733333333
671,8,7.244444444,7.422222222,7.477777778,7.744444444
672,8,7.244444444,7.422222222,7.477777778,7.744444444
673,8,7.244444444,7.422222222,7.477777778,7.733333333
674,8,7.244444444,7.422222222,7.477777778,7.733333333
675,8,7.244444444,7.422222222,7.477777778,7.733333333
676,8,7.244444444,7.422222222,7.477777778,7.733333333
677,8,7.244444444,7.422222222,7.477777778,7.733333333
678,8,7.244444444,7.422222222,7.477777778,7.722222222
679,8,7.244444444,7.422222222,7.488888889,7.722222222
680,8,7.244444444,7.422222222,7.488888889,7.722222222
681,8,7.244444444,7.444444444,7.488888889,7.722222222
682,8,7.244444444,7.444444444,7.477777778,7.722222222
683,8,7.244444444,7.444444444,7.477777778,7.722222222
684,8,7.244444444,7.444444444,7.511111111,7.722222222
685,8,7.244444444,7.444444444,7.477777778,7.722222222
686,8,7.244444444,7.444444444,7.477777778,7.722222222
687,8,7.244444444,7.444444444,7.488888889,7.722222222
688,8,7.244444444,7.433333333,7.488888889,7.722222222
689,8,7.255555556,7.433333333,7.488888889,7.711111111
690,8,7.255555556,7.433333333,7.488888889,7.711111111
691,8,7.255555556,7.433333333,7.488888889,7.711111111
692,8,7.244444444,7.422222222,7.511111111,7.711111111
693,8,7.244444444,7.422222222,7.5,7.711111111
694,8,7.255555556,7.422222222,7.5,7.711111111
695,8,7.255555556,7.422222222,7.511111111,7.711111111
696,8,7.244444444,7.422222222,7.511111111,7.711111111
697,8,7.255555556,7.422222222,7.5,7.711111111
698,8,7.244444444,7.422222222,7.5,7.711111111
699,8,7.255555556,7.422222222,7.5,7.733333333
700,8,7.266666667,7.422222222,7.5,7.733333333
701,8,7.277777778,7.422222222,7.5,7.733333333
702,8,7.277777778,7.422222222,7.5,7.733333333
703,8,7.277777778,7.433333333,7.5,7.733333333
704,8,7.277777778,7.455555556,7.5,7.733333333
705,8,7.277777778,7.455555556,7.5,7.733333333
706,8,7.277777778,7.455555556,7.5,7.733333333
707,8,7.288888889,7.455555556,7.5,7.733333333
708,8,7.288888889,7.455555556,7.5,7.733333333
709,8,7.288888889,7.455555556,7.5,7.733333333
710,8,7.311111111,7.466666667,7.5,7.733333333
711,8,7.311111111,7.466666667,7.5,7.733333333
712,8,7.311111111,7.466666667,7.5,7.733333333
713,8,7.311111111,7.466666667,7.5,7.733333333
714,8,7.311111111,7.455555556,7.5,7.733333333
715,8,7.311111111,7.455555556,7.5,7.733333333
716,8,7.311111111,7.455555556,7.5,7.733333333
717,8,7.311111111,7.433333333,7.488888889,7.733333333
718,8,7.311111111,7.433333333,7.488888889,7.733333333
719,8,7.311111111,7.444444444,7.488888889,7.733333333
720,8,7.311111111,7.444444444,7.488888889,7.733333333
721,8,7.311111111,7.444444444,7.488888889,7.733333333
722,8,7.311111111,7.444444444,7.488888889,7.733333333
723,8,7.311111111,7.444444444,7.488888889,7.733333333
724,8,7.311111111,7.488888889,7.488888889,7.733333333
725,8,7.311111111,7.488888889,7.488888889,7.733333333
726,8,7.311111111,7.488888889,7.488888889,7.744444444
727,8,7.311111111,7.5,7.488888889,7.744444444
728,8,7.311111111,7.511111111,7.488888889,7.744444444
729,8,7.311111111,7.5,7.488888889,7.744444444
730,8,7.311111111,7.5,7.488888889,7.744444444
731,8,7.311111111,7.5,7.488888889,7.744444444
732,8,7.311111111,7.5,7.5,7.744444444
733,8,7.311111111,7.5,7.5,7.744444444
734,8,7.333333333,7.511111111,7.5,7.744444444
735,8,7.333333333,7.511111111,7.5,7.744444444
736,8,7.344444444,7.511111111,7.5,7.755555556
737,8,7.344444444,7.511111111,7.5,7.755555556
738,8,7.344444444,7.511111111,7.511111111,7.755555556
739,8,7.344444444,7.511111111,7.511111111,7.755555556
740,8,7.344444444,7.511111111,7.511111111,7.755555556
741,8,7.344444444,7.511111111,7.511111111,7.755555556
742,8,7.344444444,7.533333333,7.511111111,7.755555556
743,8,7.344444444,7.533333333,7.511111111,7.766666667
744,8,7.344444444,7.511111111,7.511111111,7.766666667
745,8,7.344444444,7.511111111,7.511111111,7.766666667
746,8,7.344444444,7.511111111,7.511111111,7.766666667
747,8,7.344444444,7.511111111,7.511111111,7.766666667
748,8,7.344444444,7.511111111,7.511111111,7.766666667
749,8,7.344444444,7.511111111,7.511111111,7.766666667
750,8,7.344444444,7.511111111,7.511111111,7.766666667
751,8,7.344444444,7.511111111,7.511111111,7.766666667
752,8,7.344444444,7.533333333,7.511111111,7.766666667
753,8,7.344444444,7.555555556,7.511111111,7.766666667
754,8,7.344444444,7.555555556,7.511111111,7.766666667
755,8,7.344444444,7.555555556,7.522222222,7.766666667
756,8,7.344444444,7.555555556,7.522222222,7.755555556
757,8,7.355555556,7.544444444,7.522222222,7.755555556
758,8,7.355555556,7.544444444,7.522222222,7.755555556
759,8,7.355555556,7.544444444,7.522222222,7.755555556
760,8,7.355555556,7.544444444,7.522222222,7.755555556
761,8,7.355555556,7.555555556,7.511111111,7.755555556
762,8,7.355555556,7.555555556,7.511111111,7.755555556
763,8,7.366666667,7.555555556,7.522222222,7.755555556
764,8,7.366666667,7.555555556,7.522222222,7.755555556
765,8,7.366666667,7.566666667,7.511111111,7.744444444
766,8,7.366666667,7.566666667,7.511111111,7.744444444
767,8,7.366666667,7.566666667,7.511111111,7.744444444
768,8,7.366666667,7.566666667,7.511111111,7.744444444
769,8,7.366666667,7.566666667,7.511111111,7.755555556
770,8,7.366666667,7.566666667,7.511111111,7.755555556
771,8,7.366666667,7.566666667,7.511111111,7.755555556
772,8,7.366666667,7.544444444,7.511111111,7.755555556
773,8,7.366666667,7.544444444,7.511111111,7.755555556
774,8,7.366666667,7.544444444,7.511111111,7.755555556
775,8,7.377777778,7.544444444,7.533333333,7.755555556
776,8,7.4,7.544444444,7.533333333,7.755555556
777,8,7.4,7.544444444,7.533333333,7.766666667
778,8,7.4,7.544444444,7.533333333,7.766666667
779,8,7.4,7.544444444,7.533333333,7.766666667
780,8,7.4,7.544444444,7.533333333,7.766666667
781,8,7.4,7.544444444,7.533333333,7.766666667
782,8,7.4,7.544444444,7.533333333,7.766666667
783,8,7.4,7.544444444,7.533333333,7.766666667
784,8,7.4,7.544444444,7.533333333,7.766666667
785,8,7.4,7.544444444,7.533333333,7.766666667
786,8,7.4,7.544444444,7.533333333,7.766666667
787,8,7.4,7.533333333,7.533333333,7.766666667
788,8,7.4,7.522222222,7.533333333,7.766666667
789,8,7.4,7.522222222,7.533333333,7.766666667
790,8,7.4,7.522222222,7.533333333,7.766666667
791,8,7.4,7.511111111,7.533333333,7.766666667
792,8,7.4,7.511111111,7.533333333,7.766666667
793,8,7.4,7.544444444,7.533333333,7.766666667
794,8,7.4,7.544444444,7.533333333,7.766666667
795,8,7.4,7.544444444,7.533333333,7.777777778
796,8,7.4,7.544444444,7.533333333,7.788888889
797,8,7.4,7.544444444,7.533333333,7.788888889
798,8,7.4,7.555555556,7.533333333,7.788888889
799,8,7.4,7.555555556,7.533333333,7.788888889
800,8,7.4,7.533333333,7.533333333,7.777777778
801,8,7.4,7.533333333,7.533333333,7.777777778
802,8,7.4,7.533333333,7.533333333,7.777777778
803,8,7.4,7.533333333,7.533333333,7.777777778
804,8,7.4,7.533333333,7.533333333,7.777777778
805,8,7.4,7.533333333,7.533333333,7.777777778
806,8,7.4,7.533333333,7.533333333,7.777777778
807,8,7.4,7.533333333,7.533333333,7.777777778
808,8,7.4,7.533333333,7.533333333,7.777777778
809,8,7.4,7.533333333,7.533333333,7.777777778
810,8,7.4,7.533333333,7.533333333,7.777777778
811,8,7.4,7.533333333,7.533333333,7.777777778
812,8,7.388888889,7.544444444,7.533333333,7.777777778
813,8,7.388888889,7.555555556,7.533333333,7.777777778
814,8,7.377777778,7.566666667,7.533333333,7.777777778
815,8,7.377777778,7.566666667,7.533333333,7.777777778
816,8,7.377777778,7.566666667,7.533333333,7.811111111
817,8,7.377777778,7.566666667,7.533333333,7.811111111
818,8,7.388888889,7.566666667,7.533333333,7.811111111
819,8,7.4,7.566666667,7.533333333,7.811111111
820,8,7.4,7.566666667,7.533333333,7.811111111
821,7.966666667,7.4,7.588888889,7.533333333,7.811111111
822,7.966666667,7.388888889,7.588888889,7.533333333,7.811111111
823,7.966666667,7.377777778,7.588888889,7.533333333,7.811111111
824,7.966666667,7.388888889,7.588888889,7.544444444,7.811111111
825,7.966666667,7.388888889,7.588888889,7.544444444,7.8
826,7.966666667,7.388888889,7.588888889,7.544444444,7.788888889
827,7.966666667,7.4,7.588888889,7.544444444,7.788888889
828,7.966666667,7.4,7.588888889,7.544444444,7.788888889
829,7.966666667,7.388888889,7.588888889,7.544444444,7.788888889
830,7.966666667,7.388888889,7.588888889,7.544444444,7.8
831,7.966666667,7.4,7.588888889,7.544444444,7.8
832,7.966666667,7.4,7.588888889,7.544444444,7.8
833,7.966666667,7.4,7.588888889,7.555555556,7.8
834,7.966666667,7.4,7.588888889,7.555555556,7.8
835,7.966666667,7.4,7.588888889,7.555555556,7.8
836,7.966666667,7.388888889,7.588888889,7.555555556,7.8
837,7.966666667,7.388888889,7.588888889,7.555555556,7.8
838,7.966666667,7.388888889,7.588888889,7.555555556,7.8
839,8,7.4,7.588888889,7.555555556,7.788888889
840,8,7.4,7.588888889,7.555555556,7.788888889
841,8,7.4,7.588888889,7.555555556,7.8
842,8,7.4,7.588888889,7.555555556,7.8
843,8,7.4,7.588888889,7.555555556,7.8
844,8,7.4,7.588888889,7.555555556,7.788888889
845,8,7.411111111,7.588888889,7.555555556,7.788888889
846,8,7.411111111,7.588888889,7.555555556,7.8
847,8,7.411111111,7.588888889,7.555555556,7.8
848,8,7.422222222,7.588888889,7.555555556,7.8
849,8,7.411111111,7.588888889,7.555555556,7.8
850,8,7.422222222,7.577777778,7.555555556,7.8
851,8,7.433333333,7.577777778,7.555555556,7.8
852,8,7.433333333,7.577777778,7.555555556,7.8
853,8,7.433333333,7.577777778,7.555555556,7.8
854,8,7.433333333,7.577777778,7.555555556,7.8
855,8,7.433333333,7.588888889,7.555555556,7.8
856,8,7.433333333,7.588888889,7.555555556,7.8
857,8,7.433333333,7.588888889,7.555555556,7.8
858,8,7.433333333,7.588888889,7.555555556,7.8
859,8,7.433333333,7.577777778,7.555555556,7.8
860,8,7.411111111,7.577777778,7.555555556,7.8
861,8,7.411111111,7.577777778,7.555555556,7.8
862,8,7.411111111,7.577777778,7.555555556,7.8
863,8,7.444444444,7.577777778,7.555555556,7.788888889
864,8,7.444444444,7.577777778,7.555555556,7.788888889
865,8,7.444444444,7.588888889,7.555555556,7.788888889
866,8,7.411111111,7.588888889,7.555555556,7.788888889
867,8,7.422222222,7.588888889,7.555555556,7.788888889
868,8,7.422222222,7.588888889,7.555555556,7.788888889
869,8,7.422222222,7.588888889,7.555555556,7.788888889
870,8,7.444444444,7.588888889,7.555555556,7.788888889
871,8,7.455555556,7.588888889,7.555555556,7.788888889
872,8,7.455555556,7.588888889,7.555555556,7.788888889
873,8,7.433333333,7.566666667,7.555555556,7.788888889
874,8,7.444444444,7.566666667,7.555555556,7.811111111
875,8,7.444444444,7.566666667,7.555555556,7.822222222
876,8,7.444444444,7.566666667,7.555555556,7.822222222
877,8,7.444444444,7.566666667,7.555555556,7.822222222
878,8,7.444444444,7.555555556,7.555555556,7.822222222
879,8,7.444444444,7.555555556,7.555555556,7.822222222
880,8,7.444444444,7.555555556,7.555555556,7.822222222
881,8,7.444444444,7.555555556,7.555555556,7.822222222
882,8,7.444444444,7.555555556,7.555555556,7.822222222
883,8,7.444444444,7.555555556,7.555555556,7.822222222
884,8,7.444444444,7.555555556,7.555555556,7.822222222
885,8,7.455555556,7.533333333,7.555555556,7.833333333
886,8,7.455555556,7.533333333,7.555555556,7.833333333
887,8,7.455555556,7.533333333,7.555555556,7.833333333
888,8,7.455555556,7.533333333,7.555555556,7.833333333
889,8,7.455555556,7.533333333,7.555555556,7.833333333
890,8,7.455555556,7.533333333,7.555555556,7.833333333
891,8,7.455555556,7.533333333,7.555555556,7.833333333
892,8,7.455555556,7.533333333,7.555555556,7.844444444
893,8,7.455555556,7.533333333,7.555555556,7.833333333
894,8,7.455555556,7.533333333,7.555555556,7.811111111
895,8,7.455555556,7.533333333,7.555555556,7.811111111
896,8,7.455555556,7.533333333,7.555555556,7.811111111
897,8,7.455555556,7.533333333,7.555555556,7.811111111
898,8,7.466666667,7.533333333,7.555555556,7.811111111
899,8,7.466666667,7.533333333,7.555555556,7.811111111
900,8,7.466666667,7.544444444,7.566666667,7.811111111
901,8,7.466666667,7.544444444,7.566666667,7.811111111
902,8,7.466666667,7.544444444,7.566666667,7.811111111
903,8,7.466666667,7.544444444,7.566666667,7.811111111
904,8,7.477777778,7.555555556,7.566666667,7.811111111
905,8,7.488888889,7.555555556,7.566666667,7.811111111
906,8,7.488888889,7.555555556,7.577777778,7.811111111
907,8,7.488888889,7.555555556,7.577777778,7.811111111
908,8,7.488888889,7.555555556,7.577777778,7.811111111
909,8,7.5,7.555555556,7.588888889,7.811111111
910,8,7.5,7.555555556,7.588888889,7.811111111
911,8,7.5,7.555555556,7.588888889,7.811111111
912,8,7.5,7.555555556,7.588888889,7.811111111
913,8,7.5,7.555555556,7.588888889,7.811111111
914,8,7.5,7.555555556,7.588888889,7.822222222
915,8,7.5,7.566666667,7.588888889,7.822222222
916,8,7.5,7.577777778,7.588888889,7.822222222
917,8,7.5,7.577777778,7.588888889,7.822222222
918,8,7.5,7.577777778,7.588888889,7.822222222
919,8,7.5,7.577777778,7.588888889,7.822222222
920,8,7.5,7.577777778,7.588888889,7.811111111
921,8,7.5,7.577777778,7.588888889,7.811111111
922,8,7.5,7.588888889,7.588888889,7.811111111
923,8,7.511111111,7.588888889,7.588888889,7.811111111
924,8,7.511111111,7.588888889,7.6,7.811111111
925,8,7.533333333,7.588888889,7.588888889,7.811111111
926,8,7.533333333,7.588888889,7.588888889,7.811111111
927,8,7.533333333,7.577777778,7.588888889,7.811111111
928,8,7.533333333,7.577777778,7.588888889,7.811111111
929,8,7.533333333,7.577777778,7.6,7.811111111
930,8,7.533333333,7.577777778,7.6,7.811111111
931,8,7.544444444,7.577777778,7.6,7.811111111
932,8,7.544444444,7.577777778,7.6,7.811111111
933,8,7.544444444,7.577777778,7.6,7.811111111
934,8,7.544444444,7.577777778,7.6,7.811111111
935,8,7.544444444,7.588888889,7.6,7.811111111
936,8,7.544444444,7.588888889,7.6,7.811111111
937,8,7.544444444,7.588888889,7.6,7.811111111
938,8,7.544444444,7.588888889,7.6,7.811111111
939,8,7.544444444,7.588888889,7.6,7.811111111
940,8,7.544444444,7.588888889,7.6,7.811111111
941,8,7.544444444,7.6,7.6,7.811111111
942,8,7.544444444,7.6,7.6,7.811111111
943,8,7.544444444,7.6,7.6,7.811111111
944,8,7.544444444,7.6,7.6,7.811111111
945,8,7.544444444,7.6,7.6,7.811111111
946,8,7.544444444,7.6,7.6,7.811111111
947,8,7.544444444,7.6,7.6,7.811111111
948,8,7.544444444,7.611111111,7.6,7.811111111
949,8,7.544444444,7.611111111,7.6,7.811111111
950,8,7.544444444,7.611111111,7.6,7.811111111
951,8,7.544444444,7.611111111,7.6,7.811111111
952,8,7.544444444,7.611111111,7.6,7.811111111
953,8,7.544444444,7.611111111,7.6,7.811111111
954,8,7.544444444,7.611111111,7.6,7.811111111
955,8,7.544444444,7.611111111,7.6,7.811111111
956,8,7.544444444,7.611111111,7.6,7.811111111
957,8,7.544444444,7.611111111,7.6,7.811111111
958,8,7.544444444,7.611111111,7.6,7.811111111
959,8,7.544444444,7.611111111,7.6,7.811111111
960,8,7.544444444,7.611111111,7.6,7.811111111
961,8,7.544444444,7.611111111,7.6,7.811111111
962,8,7.544444444,7.611111111,7.6,7.811111111
963,8,7.544444444,7.611111111,7.6,7.811111111
964,8,7.544444444,7.611111111,7.622222222,7.811111111
965,8,7.544444444,7.611111111,7.622222222,7.811111111
966,8,7.544444444,7.611111111,7.622222222,7.811111111
967,8,7.544444444,7.611111111,7.611111111,7.811111111
968,8,7.544444444,7.611111111,7.611111111,7.811111111
969,8,7.544444444,7.611111111,7.611111111,7.811111111
970,8,7.555555556,7.611111111,7.611111111,7.811111111
971,8,7.555555556,7.622222222,7.611111111,7.811111111
972,8,7.555555556,7.622222222,7.611111111,7.811111111
973,8,7.555555556,7.622222222,7.611111111,7.811111111
974,8,7.555555556,7.622222222,7.611111111,7.811111111
975,8,7.555555556,7.622222222,7.611111111,7.811111111
976,8,7.555555556,7.633333333,7.611111111,7.811111111
977,8,7.555555556,7.622222222,7.611111111,7.811111111
978,8,7.555555556,7.622222222,7.611111111,7.811111111
979,8,7.555555556,7.633333333,7.611111111,7.811111111
980,8,7.555555556,7.633333333,7.611111111,7.811111111
981,8,7.555555556,7.633333333,7.633333333,7.811111111
982,8,7.555555556,7.633333333,7.633333333,7.811111111
