"Figure 10 (left). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP size. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
446,63.7,28.7,25.1,27.53333333,31.61111111
447,63.7,28.72222222,25.1,27.55555556,31.57777778
448,63.7,28.72222222,25.1,27.55555556,31.61111111
449,63.96666667,28.72222222,25.12222222,27.55555556,31.61111111
450,63.83333333,28.74444444,25.1,27.55555556,31.61111111
451,63.83333333,28.74444444,25.12222222,27.55555556,31.56666667
452,63.76666667,28.74444444,25.12222222,27.55555556,31.6
453,64.16666667,28.74444444,25.17777778,27.55555556,31.73333333
454,64.16666667,28.71111111,25.17777778,27.57777778,31.72222222
455,64.5,28.71111111,25.27777778,27.64444444,31.74444444
456,64.56666667,28.74444444,25.27777778,27.64444444,31.74444444
457,64.23333333,28.74444444,25.36666667,27.68888889,31.78888889
458,64.23333333,28.64444444,25.38888889,27.68888889,31.78888889
459,64.1,28.64444444,25.48888889,27.68888889,31.64444444
460,64.03333333,28.64444444,25.47777778,27.68888889,31.6
461,63.96666667,28.68888889,25.45555556,27.68888889,31.52222222
462,63.96666667,28.68888889,25.43333333,27.66666667,31.53333333
463,64.1,28.68888889,25.41111111,27.6,31.65555556
464,64.03333333,28.68888889,25.41111111,27.6,31.58888889
465,63.9,28.66666667,25.28888889,27.6,31.57777778
466,63.83333333,28.66666667,25.28888889,27.6,31.57777778
467,63.83333333,28.64444444,25.28888889,27.6,31.57777778
468,63.83333333,28.64444444,25.53333333,27.6,31.52222222
469,63.83333333,28.64444444,25.47777778,27.6,31.53333333
470,63.96666667,28.62222222,25.47777778,27.6,31.53333333
471,64.23333333,28.62222222,25.52222222,27.62222222,31.53333333
472,64.3,28.61111111,25.53333333,27.62222222,31.52222222
473,64.5,28.78888889,25.31111111,27.6,31.54444444
474,65.1,28.84444444,25.4,27.57777778,31.52222222
475,65.03333333,28.84444444,25.37777778,27.57777778,31.54444444
476,64.9,28.84444444,25.35555556,27.57777778,31.6
477,64.83333333,28.84444444,25.33333333,27.8,31.55555556
478,64.83333333,28.84444444,25.33333333,27.82222222,31.56666667
479,64.63333333,28.86666667,25.33333333,27.8,31.71111111
480,64.56666667,28.86666667,25.35555556,27.82222222,31.72222222
481,64.5,28.86666667,25.35555556,27.82222222,31.72222222
482,64.36666667,28.84444444,25.35555556,27.82222222,31.72222222
483,64.36666667,28.83333333,25.44444444,27.82222222,31.74444444
484,64.36666667,28.83333333,25.48888889,27.82222222,31.72222222
485,64.43333333,28.83333333,25.48888889,27.83333333,31.75555556
486,64.36666667,28.83333333,25.55555556,27.85555556,31.75555556
487,64.5,28.86666667,25.57777778,27.94444444,31.75555556
488,64.5,28.86666667,25.51111111,27.94444444,31.73333333
489,64.7,28.84444444,25.51111111,27.94444444,31.71111111
490,64.7,28.91111111,25.51111111,27.96666667,31.68888889
491,65.03333333,28.88888889,25.53333333,27.96666667,31.8
492,65.03333333,28.88888889,25.53333333,27.96666667,31.76666667
493,65.03333333,28.95555556,25.57777778,27.96666667,31.76666667
494,65.03333333,28.97777778,25.57777778,28.06666667,31.76666667
495,64.63333333,28.95555556,25.53333333,28.06666667,31.76666667
496,64.63333333,28.98888889,25.53333333,28.11111111,31.77777778
497,64.63333333,29.01111111,25.52222222,28.11111111,31.77777778
498,64.56666667,29.01111111,25.56666667,28.4,31.84444444
499,64.56666667,29.13333333,25.56666667,28.16666667,31.77777778
500,64.76666667,29.13333333,25.56666667,28.2,31.75555556
501,64.76666667,29.22222222,25.54444444,28.22222222,31.77777778
502,64.43333333,29.08888889,25.56666667,28.32222222,31.75555556
503,64.43333333,29.11111111,25.6,28.3,31.93333333
504,64.43333333,29.08888889,25.61111111,28.33333333,31.93333333
505,64.36666667,29.31111111,25.61111111,28.33333333,32.12222222
506,64.36666667,29.35555556,25.7,28.35555556,32.12222222
507,64.5,29.35555556,25.7,28.37777778,32.07777778
508,64.5,29.37777778,25.74444444,28.37777778,32.01111111
509,64.5,29.35555556,25.76666667,28.4,32.04444444
510,64.63333333,29.31111111,25.76666667,28.41111111,32.07777778
511,64.9,29.31111111,25.7,28.41111111,32.12222222
512,65.16666667,29.31111111,25.7,28.41111111,32.08888889
513,64.96666667,29.3,25.72222222,28.47777778,32.2
514,64.96666667,29.32222222,25.72222222,28.47777778,32.24444444
515,64.96666667,29.41111111,25.72222222,28.47777778,32.3
516,64.96666667,29.41111111,25.83333333,28.43333333,32.32222222
517,65,29.41111111,25.98888889,28.44444444,32.36666667
518,64.86666667,29.41111111,25.98888889,28.5,32.34444444
519,64.8,29.41111111,25.97777778,28.42222222,32.3
520,64.8,29.42222222,25.95555556,28.35555556,32.27777778
521,64.73333333,29.48888889,25.97777778,28.25555556,32.27777778
522,64.73333333,29.48888889,25.93333333,28.35555556,32.33333333
523,64.66666667,29.48888889,25.93333333,28.36666667,32.33333333
524,64.8,29.63333333,25.93333333,28.36666667,32.5
525,64.73333333,29.74444444,25.95555556,28.34444444,32.52222222
526,64.66666667,29.74444444,25.97777778,28.38888889,32.52222222
527,64.66666667,29.74444444,26.03333333,28.41111111,32.52222222
528,64.66666667,29.74444444,26.03333333,28.41111111,32.51111111
529,64.73333333,29.74444444,26.03333333,28.46666667,32.53333333
530,65,29.74444444,26.12222222,28.46666667,32.54444444
531,65.23333333,29.74444444,26.11111111,28.44444444,32.54444444
532,65.03333333,29.78888889,26.11111111,28.44444444,32.55555556
533,65.16666667,29.81111111,26.11111111,28.33333333,32.48888889
534,65.16666667,29.81111111,26.08888889,28.33333333,32.48888889
535,65.16666667,29.83333333,26.42222222,28.35555556,32.51111111
536,65.56666667,29.83333333,26.42222222,28.45555556,32.47777778
537,65.5,29.81111111,26.37777778,28.5,32.42222222
538,65.53333333,29.81111111,26.35555556,28.5,32.42222222
539,65.46666667,29.81111111,26.62222222,28.5,32.44444444
540,65.8,29.81111111,26.62222222,28.51111111,32.44444444
541,65.56666667,29.83333333,26.33333333,28.5,32.44444444
542,65.56666667,29.83333333,26.33333333,28.54444444,32.44444444
543,65.43333333,29.83333333,26.42222222,28.54444444,32.5
544,65.23333333,29.83333333,26.34444444,28.56666667,32.68888889
545,65.1,29.83333333,26.5,28.62222222,32.68888889
546,65.1,29.81111111,26.45555556,28.8,32.68888889
547,65.1,29.81111111,26.45555556,28.86666667,32.68888889
548,65.16666667,29.83333333,26.45555556,28.86666667,32.66666667
549,65.03333333,29.83333333,26.52222222,28.82222222,32.68888889
550,65.23333333,29.83333333,26.52222222,28.9,32.71111111
551,65.43333333,29.83333333,26.52222222,28.84444444,32.88888889
552,65.63333333,29.83333333,26.54444444,28.88888889,32.88888889
553,65.7,29.83333333,26.61111111,28.92222222,32.88888889
554,65.7,29.85555556,26.44444444,28.85555556,32.82222222
555,65.7,29.85555556,26.33333333,28.85555556,32.8
556,65.7,29.85555556,26.33333333,28.83333333,32.75555556
557,65.83333333,29.85555556,26.42222222,28.83333333,32.8
558,65.9,29.84444444,26.42222222,28.83333333,32.84444444
559,65.7,29.84444444,26.42222222,28.85555556,32.87777778
560,65.56666667,29.85555556,26.42222222,28.85555556,32.87777778
561,65.56666667,29.85555556,26.45555556,28.75555556,32.74444444
562,65.5,29.86666667,26.78888889,28.75555556,32.74444444
563,65.43333333,29.93333333,26.78888889,28.74444444,32.81111111
564,65.43333333,29.95555556,26.78888889,28.74444444,32.8
565,65.96666667,29.96666667,26.78888889,28.74444444,32.8
566,65.96666667,29.96666667,26.78888889,28.72222222,32.8
567,65.76666667,29.96666667,26.78888889,28.75555556,32.8
568,65.63333333,29.96666667,26.78888889,28.75555556,32.8
569,65.56666667,29.98888889,26.78888889,28.75555556,32.7
570,65.36666667,30.01111111,26.76666667,28.75555556,32.7
571,65.36666667,30.01111111,26.78888889,28.75555556,32.7
572,65.36666667,30.01111111,26.78888889,28.75555556,32.72222222
573,65.3,30.01111111,26.78888889,28.75555556,32.74444444
574,64.96666667,30.01111111,26.78888889,28.75555556,32.74444444
575,64.9,30.03333333,26.85555556,28.75555556,32.7
576,64.9,30.03333333,26.92222222,28.75555556,32.51111111
577,64.76666667,30.03333333,26.98888889,28.77777778,32.57777778
578,64.76666667,30.03333333,26.98888889,28.75555556,32.63333333
579,64.76666667,30.05555556,26.98888889,28.8,32.63333333
580,64.76666667,30.05555556,26.93333333,28.84444444,32.63333333
581,64.96666667,30.04444444,26.95555556,28.88888889,32.66666667
582,65.23333333,30.01111111,26.94444444,28.88888889,32.67777778
583,65.36666667,30.01111111,27.1,28.88888889,32.71111111
584,65.3,29.98888889,27.1,28.87777778,32.72222222
585,65.3,29.98888889,27.12222222,28.81111111,32.72222222
586,65.3,29.98888889,27.15555556,28.81111111,32.72222222
587,65.43333333,29.96666667,27.21111111,28.83333333,32.72222222
588,65.43333333,29.98888889,27.18888889,28.83333333,32.72222222
589,65.43333333,30.03333333,27.25555556,28.85555556,32.74444444
590,65.43333333,30.03333333,27.25555556,28.85555556,32.9
591,65.83333333,30.04444444,27.26666667,28.81111111,32.85555556
592,65.83333333,30.11111111,27.28888889,28.81111111,32.85555556
593,65.83333333,30.13333333,27.34444444,28.76666667,33.03333333
594,65.83333333,30.13333333,27.34444444,28.76666667,33.03333333
595,65.76666667,30.13333333,27.4,28.76666667,33.03333333
596,65.76666667,30.11111111,27.4,28.76666667,33
597,65.76666667,30.15555556,27.38888889,28.74444444,33.15555556
598,65.83333333,30.28888889,27.38888889,28.74444444,33.15555556
599,66.23333333,30.28888889,27.38888889,28.74444444,33.15555556
600,66.16666667,30.38888889,27.46666667,28.83333333,33.27777778
601,66.53333333,30.46666667,27.36666667,28.83333333,33.33333333
602,66.46666667,30.36666667,27.36666667,28.83333333,33.45555556
603,66.46666667,30.47777778,27.36666667,28.83333333,33.5
604,66.66666667,30.32222222,27.36666667,28.92222222,33.52222222
605,66.66666667,30.32222222,27.36666667,28.9,33.54444444
606,66.73333333,30.26666667,27.36666667,28.9,33.5
607,66.73333333,30.26666667,27.38888889,28.92222222,33.53333333
608,66.86666667,30.12222222,27.4,28.92222222,33.53333333
609,66.86666667,30.12222222,27.4,28.92222222,33.53333333
610,66.86666667,30.12222222,27.37777778,28.92222222,33.57777778
611,66.73333333,30.22222222,27.37777778,28.92222222,33.56666667
612,66.86666667,30.25555556,27.47777778,28.92222222,33.56666667
613,66.86666667,30.25555556,27.47777778,28.96666667,33.62222222
614,66.8,30.23333333,27.5,28.96666667,33.47777778
615,66.86666667,30.23333333,27.48888889,29.05555556,33.47777778
616,66.7,30.23333333,27.48888889,29.07777778,33.47777778
617,66.7,30.24444444,27.47777778,29.07777778,33.5
618,66.63333333,30.2,27.47777778,29.03333333,33.61111111
619,66.63333333,30.22222222,27.47777778,29.03333333,33.61111111
620,66.63333333,30.22222222,27.47777778,28.85555556,33.52222222
621,66.63333333,30.16666667,27.47777778,29.17777778,33.53333333
622,66.63333333,30.26666667,27.46666667,29.17777778,33.43333333
623,66.56666667,30.23333333,27.46666667,28.98888889,33.47777778
624,66.66666667,30.33333333,27.46666667,29.01111111,33.47777778
625,66.6,30.25555556,27.5,29.01111111,33.31111111
626,66.8,30.25555556,27.5,29.01111111,33.31111111
627,66.8,30.2,27.5,29.01111111,33.31111111
628,66.83333333,30.2,27.53333333,29.03333333,33.52222222
629,67.06666667,30.22222222,27.61111111,29.1,33.51111111
630,67.2,30.22222222,27.61111111,29.1,33.51111111
631,67.2,30.25555556,27.61111111,29.1,33.53333333
632,67.4,30.37777778,27.61111111,29.1,33.38888889
633,67.33333333,30.37777778,27.61111111,29.13333333,33.52222222
634,67.2,30.31111111,27.61111111,29.13333333,33.56666667
635,67.13333333,30.33333333,27.61111111,29.13333333,33.54444444
636,67,30.35555556,27.52222222,29.15555556,33.54444444
637,67.06666667,30.35555556,27.45555556,29.15555556,33.56666667
638,66.86666667,30.33333333,27.44444444,29.15555556,33.56666667
639,67.06666667,30.33333333,27.44444444,29.17777778,33.54444444
640,67.13333333,30.33333333,27.53333333,29.08888889,33.8
641,66.93333333,30.31111111,27.53333333,29.08888889,33.82222222
642,67,30.26666667,27.53333333,29.06666667,33.88888889
643,66.66666667,30.2,27.47777778,29.12222222,33.98888889
644,66.66666667,30.2,27.47777778,29.12222222,34.03333333
645,66.6,30.26666667,27.47777778,29.12222222,34.04444444
646,66.46666667,30.28888889,27.47777778,29.07777778,34.06666667
647,66.46666667,30.31111111,27.47777778,29.07777778,33.9
648,66.6,30.31111111,27.52222222,29.07777778,33.92222222
649,66.86666667,30.33333333,27.52222222,29.07777778,33.88888889
650,66.8,30.33333333,27.55555556,29.07777778,33.95555556
651,67.06666667,30.26666667,27.55555556,29.1,33.95555556
652,67.2,30.35555556,27.55555556,29.1,33.97777778
653,67.26666667,30.37777778,27.55555556,29.1,34.02222222
654,67.26666667,30.37777778,27.6,29.12222222,33.98888889
655,67.26666667,30.37777778,27.6,29.13333333,33.94444444
656,67.13333333,30.42222222,27.71111111,29.13333333,33.95555556
657,67.13333333,30.4,27.73333333,29.13333333,33.95555556
658,67.33333333,30.4,27.77777778,29.12222222,33.92222222
659,67.46666667,30.42222222,27.77777778,29.12222222,33.92222222
660,67.53333333,30.37777778,27.7,29.14444444,33.92222222
661,67.53333333,30.37777778,27.7,29.1,33.95555556
662,67.53333333,30.37777778,27.67777778,29.11111111,33.91111111
663,67.53333333,30.33333333,27.67777778,29.11111111,33.84444444
664,67.53333333,30.33333333,27.67777778,29.17777778,33.85555556
665,67.53333333,30.33333333,27.67777778,29.23333333,34.02222222
666,67.4,30.35555556,27.65555556,29.24444444,34.06666667
667,67.4,30.35555556,27.64444444,29.25555556,34.08888889
668,67.66666667,30.37777778,27.61111111,29.21111111,34.12222222
669,67.53333333,30.37777778,27.66666667,29.21111111,33.97777778
670,67.53333333,30.46666667,27.75555556,29.2,33.96666667
671,67.26666667,30.45555556,27.68888889,29.2,33.96666667
672,67.26666667,30.47777778,27.68888889,29.2,33.96666667
673,67.33333333,30.47777778,27.68888889,29.2,34.01111111
674,67.33333333,30.47777778,27.67777778,29.2,34.03333333
675,67.33333333,30.47777778,27.67777778,29.22222222,34.01111111
676,67.36666667,30.5,27.67777778,29.22222222,34.01111111
677,67.36666667,30.52222222,27.67777778,29.14444444,34.02222222
678,67.36666667,30.51111111,27.67777778,29.14444444,33.96666667
679,67.33333333,30.52222222,27.67777778,29.16666667,33.96666667
680,67.33333333,30.54444444,27.67777778,29.16666667,33.96666667
681,67.33333333,30.53333333,27.82222222,29.16666667,33.97777778
682,67.33333333,30.53333333,27.82222222,29.08888889,33.97777778
683,67.33333333,30.54444444,27.82222222,29.08888889,33.97777778
684,67.23333333,30.65555556,27.75555556,29.3,34
685,67.23333333,30.74444444,27.85555556,29.1,33.91111111
686,67.23333333,30.74444444,27.86666667,29.1,33.91111111
687,67.23333333,30.74444444,27.86666667,29.12222222,33.95555556
688,67.23333333,30.83333333,27.76666667,29.12222222,33.98888889
689,67.3,30.85555556,27.78888889,29.12222222,34.04444444
690,67.3,30.85555556,27.78888889,29.12222222,34.05555556
691,67.3,30.9,27.81111111,29.11111111,34.08888889
692,67.3,30.87777778,27.74444444,29.23333333,34.08888889
693,67.23333333,30.87777778,27.74444444,29.21111111,34.02222222
694,67.23333333,30.9,27.74444444,29.21111111,34.01111111
695,67.13333333,30.94444444,27.74444444,29.21111111,34.01111111
696,67.2,30.94444444,27.74444444,29.21111111,34.01111111
697,67.2,30.97777778,27.74444444,29.15555556,34.01111111
698,67.13333333,31,27.71111111,29.15555556,34.01111111
699,67.13333333,31.01111111,27.71111111,29.15555556,34.06666667
700,67.13333333,31.11111111,27.71111111,29.17777778,34.28888889
701,67.1,31.14444444,27.77777778,29.2,34.23333333
702,67.1,31.12222222,27.77777778,29.2,34.35555556
703,67.1,31.1,27.72222222,29.2,34.37777778
704,67.1,31.1,27.85555556,29.35555556,34.41111111
705,67.23333333,31.06666667,27.83333333,29.35555556,34.37777778
706,67.16666667,31.04444444,27.83333333,29.35555556,34.31111111
707,67.16666667,31.1,27.81111111,29.23333333,34.33333333
708,67.26666667,31.12222222,27.81111111,29.4,34.35555556
709,67.53333333,31.16666667,27.81111111,29.4,34.35555556
710,67.56666667,31.21111111,27.85555556,29.33333333,34.35555556
711,67.56666667,31.21111111,27.9,29.33333333,34.35555556
712,67.56666667,31.21111111,27.9,29.33333333,34.42222222
713,67.56666667,31.21111111,27.9,29.35555556,34.35555556
714,67.56666667,31.21111111,27.85555556,29.45555556,34.35555556
715,67.56666667,31.21111111,27.85555556,29.45555556,34.37777778
716,67.5,31.21111111,27.85555556,29.45555556,34.38888889
717,67.5,31.21111111,27.76666667,29.46666667,34.38888889
718,67.5,31.18888889,27.76666667,29.54444444,34.38888889
719,67.5,31.21111111,27.8,29.58888889,34.4
720,67.5,31.21111111,27.8,29.51111111,34.4
721,67.5,31.21111111,27.81111111,29.57777778,34.57777778
722,67.5,31.22222222,27.81111111,29.57777778,34.57777778
723,67.5,31.24444444,27.81111111,29.57777778,34.57777778
724,67.5,31.24444444,27.98888889,29.57777778,34.57777778
725,67.7,31.24444444,27.98888889,29.64444444,34.57777778
726,67.83333333,31.24444444,27.98888889,29.64444444,34.57777778
727,67.63333333,31.24444444,28.04444444,29.63333333,34.57777778
728,67.63333333,31.28888889,27.96666667,29.58888889,34.57777778
729,67.9,31.28888889,28.02222222,29.61111111,34.58888889
730,68.16666667,31.31111111,28.02222222,29.61111111,34.57777778
731,68.16666667,31.33333333,28.06666667,29.61111111,34.6
732,68.16666667,31.33333333,28.11111111,29.7,34.73333333
733,68.16666667,31.26666667,28.13333333,29.7,34.81111111
734,67.96666667,31.33333333,28.16666667,29.62222222,34.81111111
735,68.03333333,31.33333333,28.18888889,29.6,34.83333333
736,68.36666667,31.4,28.18888889,29.6,34.9
737,68.36666667,31.36666667,28.21111111,29.61111111,34.91111111
738,68.36666667,31.36666667,28.21111111,29.68888889,34.91111111
739,68.36666667,31.34444444,28.21111111,29.68888889,34.91111111
740,68.3,31.34444444,28.21111111,29.68888889,34.91111111
741,68.3,31.37777778,28.21111111,29.68888889,34.91111111
742,68.3,31.41111111,28.25555556,29.63333333,35.14444444
743,68.36666667,31.41111111,28.25555556,29.63333333,35.18888889
744,68.5,31.41111111,28.16666667,29.63333333,35.18888889
745,68.5,31.41111111,28.16666667,29.63333333,35.23333333
746,68.7,31.41111111,28.16666667,29.63333333,35.23333333
747,68.7,31.41111111,28.16666667,29.71111111,35.21111111
748,68.7,31.38888889,28.16666667,29.68888889,35.21111111
749,68.7,31.38888889,28.14444444,29.62222222,35.21111111
750,68.7,31.38888889,28.31111111,29.62222222,35.21111111
751,68.7,31.38888889,28.37777778,29.62222222,35.21111111
752,68.63333333,31.17777778,28.46666667,29.72222222,35.21111111
753,68.63333333,31.17777778,28.43333333,29.72222222,35.23333333
754,68.63333333,31.17777778,28.42222222,29.74444444,35.27777778
755,68.63333333,31.2,28.42222222,29.88888889,35.36666667
756,68.63333333,31.2,28.42222222,29.88888889,35.38888889
757,68.63333333,31.24444444,28.42222222,29.9,35.38888889
758,68.63333333,31.24444444,28.42222222,29.92222222,35.36666667
759,68.63333333,31.24444444,28.42222222,29.92222222,35.36666667
760,68.63333333,31.25555556,28.42222222,29.92222222,35.36666667
761,68.7,31.25555556,28.47777778,29.87777778,35.57777778
762,68.7,31.25555556,28.44444444,29.9,35.57777778
763,68.7,31.32222222,28.44444444,29.96666667,35.57777778
764,68.7,31.32222222,28.5,29.96666667,35.53333333
765,68.7,31.32222222,28.55555556,29.95555556,35.53333333
766,68.63333333,31.33333333,28.55555556,29.95555556,35.53333333
767,68.63333333,31.32222222,28.55555556,29.95555556,35.52222222
768,68.63333333,31.32222222,28.55555556,29.96666667,35.42222222
769,68.63333333,31.4,28.55555556,30.03333333,35.36666667
770,68.63333333,31.38888889,28.57777778,30.03333333,35.43333333
771,68.63333333,31.45555556,28.6,30.05555556,35.43333333
772,68.63333333,31.45555556,28.56666667,30.05555556,35.37777778
773,68.63333333,31.45555556,28.56666667,29.97777778,35.37777778
774,68.56666667,31.41111111,28.56666667,30,35.37777778
775,68.56666667,31.43333333,28.56666667,30.02222222,35.41111111
776,68.56666667,31.5,28.6,30.02222222,35.41111111
777,68.56666667,31.5,28.58888889,30.04444444,35.41111111
778,68.56666667,31.5,28.54444444,30.04444444,35.41111111
779,68.5,31.5,28.54444444,29.98888889,35.41111111
780,68.5,31.5,28.54444444,29.98888889,35.41111111
781,68.43333333,31.5,28.54444444,29.98888889,35.38888889
782,68.56666667,31.47777778,28.54444444,30.05555556,35.54444444
783,68.56666667,31.5,28.54444444,30.12222222,35.52222222
784,68.56666667,31.51111111,28.64444444,30.07777778,35.52222222
785,68.56666667,31.51111111,28.64444444,30.07777778,35.55555556
786,68.56666667,31.5,28.63333333,30.07777778,35.55555556
787,68.5,31.5,28.61111111,30.15555556,35.55555556
788,68.63333333,31.56666667,28.61111111,30.15555556,35.53333333
789,68.86666667,31.56666667,28.63333333,30.13333333,35.53333333
790,68.86666667,31.54444444,28.62222222,30.13333333,35.53333333
791,68.76666667,31.54444444,28.71111111,30.12222222,35.53333333
792,68.76666667,31.54444444,28.71111111,30.18888889,35.55555556
793,68.7,31.54444444,28.78888889,30.18888889,35.6
794,68.63333333,31.56666667,28.78888889,30.18888889,35.62222222
795,68.63333333,31.58888889,28.77777778,30.18888889,35.58888889
796,68.63333333,31.58888889,28.82222222,30.14444444,35.63333333
797,68.63333333,31.58888889,28.82222222,30.14444444,35.8
798,68.63333333,31.58888889,28.84444444,30.14444444,35.8
799,68.5,31.58888889,28.84444444,30.14444444,35.61111111
800,68.46666667,31.58888889,28.85555556,30.12222222,35.62222222
801,68.66666667,31.6,28.85555556,30.12222222,35.62222222
802,68.66666667,31.62222222,28.85555556,30.16666667,35.61111111
803,69.4,31.62222222,28.83333333,30.17777778,35.61111111
804,69.33333333,31.62222222,28.83333333,30.13333333,35.61111111
805,69.33333333,31.62222222,28.83333333,30.13333333,35.63333333
806,69.33333333,31.62222222,28.83333333,30.17777778,35.61111111
807,69.26666667,31.62222222,28.85555556,30.17777778,35.61111111
808,69.13333333,31.62222222,28.85555556,30.17777778,35.61111111
809,69.13333333,31.62222222,28.85555556,30.32222222,35.58888889
810,68.93333333,31.62222222,28.85555556,30.32222222,35.58888889
811,68.93333333,31.61111111,28.85555556,30.28888889,35.56666667
812,68.93333333,31.73333333,28.87777778,30.32222222,35.56666667
813,68.93333333,31.73333333,28.82222222,30.38888889,35.57777778
814,68.93333333,31.67777778,28.84444444,30.38888889,35.57777778
815,68.93333333,31.7,28.84444444,30.38888889,35.6
816,68.93333333,31.7,28.82222222,30.38888889,35.65555556
817,68.93333333,31.7,28.82222222,30.38888889,35.65555556
818,68.93333333,31.71111111,28.82222222,30.36666667,35.65555556
819,68.93333333,31.73333333,28.88888889,30.36666667,35.66666667
820,68.86666667,31.73333333,28.88888889,30.36666667,35.66666667
821,68.4,31.73333333,28.92222222,30.36666667,35.67777778
822,68.33333333,31.72222222,28.92222222,30.36666667,35.67777778
823,68.3,31.71111111,28.92222222,30.36666667,35.67777778
824,68.63333333,31.72222222,28.91111111,30.38888889,35.7
825,68.63333333,31.72222222,28.97777778,30.38888889,35.68888889
826,68.63333333,31.7,28.97777778,30.44444444,35.66666667
827,68.56666667,31.72222222,28.97777778,30.44444444,35.66666667
828,68.56666667,31.72222222,28.98888889,30.44444444,35.66666667
829,68.53333333,31.72222222,28.97777778,30.44444444,35.66666667
830,68.53333333,31.72222222,29.01111111,30.47777778,35.76666667
831,68.53333333,31.7,29.03333333,30.47777778,35.76666667
832,68.5,31.7,29.03333333,30.47777778,35.77777778
833,68.56666667,31.7,29.03333333,30.5,35.77777778
834,68.56666667,31.64444444,29.05555556,30.5,35.77777778
835,68.5,31.64444444,29.05555556,30.5,35.77777778
836,68.76666667,31.67777778,29.05555556,30.5,35.78888889
837,68.76666667,31.67777778,29.03333333,30.5,35.78888889
838,68.76666667,31.66666667,29.03333333,30.5,35.78888889
839,68.76666667,31.68888889,29.03333333,30.52222222,35.76666667
840,68.76666667,31.68888889,29.03333333,30.54444444,35.76666667
841,68.76666667,31.68888889,29.03333333,30.65555556,35.81111111
842,68.76666667,31.65555556,28.94444444,30.65555556,35.81111111
843,68.76666667,31.65555556,28.95555556,30.65555556,35.92222222
844,68.76666667,31.58888889,28.95555556,30.65555556,35.91111111
845,68.83333333,31.6,29.03333333,30.72222222,35.92222222
846,68.83333333,31.58888889,29.03333333,30.72222222,35.98888889
847,68.83333333,31.58888889,29.03333333,30.72222222,35.97777778
848,68.83333333,31.65555556,29.03333333,30.72222222,35.97777778
849,68.83333333,31.65555556,29.04444444,30.72222222,35.97777778
850,68.83333333,31.64444444,29.03333333,30.72222222,35.97777778
851,68.83333333,31.81111111,29.03333333,30.74444444,35.92222222
852,68.76666667,31.83333333,29.03333333,30.74444444,35.92222222
853,68.76666667,31.83333333,29.03333333,30.74444444,35.92222222
854,68.76666667,31.85555556,29.03333333,30.74444444,35.87777778
855,68.56666667,32,29.05555556,30.72222222,35.87777778
856,68.56666667,31.97777778,29.04444444,30.72222222,35.95555556
857,68.56666667,31.97777778,29.04444444,30.72222222,35.95555556
858,68.56666667,31.95555556,29.04444444,30.72222222,35.93333333
859,68.56666667,31.94444444,29,30.72222222,35.93333333
860,68.63333333,31.74444444,29.02222222,30.72222222,35.91111111
861,68.76666667,31.82222222,29.02222222,30.76666667,35.91111111
862,68.7,31.82222222,29.04444444,30.8,35.96666667
863,68.63333333,32.07777778,29.03333333,30.8,35.94444444
864,68.63333333,32.07777778,29.05555556,30.78888889,35.9
865,68.63333333,32.07777778,29.18888889,30.78888889,35.9
866,68.56666667,31.75555556,29.23333333,30.82222222,35.87777778
867,68.56666667,31.77777778,29.25555556,30.82222222,35.88888889
868,68.56666667,31.82222222,29.25555556,30.82222222,35.92222222
869,68.56666667,31.86666667,29.25555556,30.82222222,35.92222222
870,68.56666667,31.87777778,29.25555556,30.82222222,35.92222222
871,68.56666667,31.9,29.25555556,30.82222222,35.95555556
872,68.56666667,31.9,29.18888889,30.82222222,36.01111111
873,68.56666667,31.71111111,29.05555556,30.82222222,36.13333333
874,68.56666667,31.85555556,29.05555556,30.82222222,36.2
875,68.56666667,31.78888889,29.07777778,30.82222222,36.26666667
876,68.56666667,31.82222222,29.11111111,30.82222222,36.26666667
877,68.56666667,31.8,29.11111111,30.82222222,36.28888889
878,68.56666667,31.8,29.07777778,30.82222222,36.27777778
879,68.56666667,31.76666667,29.07777778,30.82222222,36.21111111
880,68.56666667,31.74444444,29.07777778,30.82222222,36.23333333
881,68.56666667,31.76666667,29.06666667,30.82222222,36.27777778
882,68.76666667,31.78888889,29.06666667,30.84444444,36.27777778
883,68.76666667,31.78888889,29.06666667,30.84444444,36.25555556
884,68.76666667,31.78888889,29.06666667,30.84444444,36.22222222
885,68.76666667,31.83333333,29.01111111,30.84444444,36.28888889
886,68.76666667,31.83333333,29.01111111,30.86666667,36.28888889
887,68.76666667,31.83333333,29.01111111,30.86666667,36.28888889
888,68.76666667,31.84444444,29.01111111,30.88888889,36.28888889
889,68.86666667,31.84444444,29.01111111,30.88888889,36.28888889
890,68.73333333,31.83333333,29.01111111,30.95555556,36.28888889
891,68.73333333,31.86666667,29.01111111,30.95555556,36.28888889
892,68.73333333,31.86666667,29.01111111,30.95555556,36.36666667
893,68.73333333,31.86666667,29.01111111,30.95555556,36.37777778
894,68.73333333,31.86666667,29.01111111,30.97777778,36.32222222
895,68.73333333,31.86666667,29.01111111,30.97777778,36.25555556
896,68.73333333,31.86666667,29.01111111,30.97777778,36.25555556
897,68.73333333,31.86666667,29.01111111,30.97777778,36.23333333
