"Figure 10 (left). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP size. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
102,53.63333333,26.18888889,19.44444444,22.02222222,23.66666667
103,53.33333333,26.16666667,19.38888889,22.11111111,23.54444444
104,53.4,26.13333333,18.94444444,22.18888889,23.52222222
105,53.06666667,26.07777778,18.95555556,22.1,23.82222222
106,52.8,26.12222222,18.77777778,22.01111111,24
107,52.73333333,26.13333333,18.76666667,22.01111111,24.4
108,52.73333333,26.27777778,18.81111111,22.48888889,24.21111111
109,52.83333333,26.1,19.06666667,22.83333333,24.17777778
110,52.83333333,26.08888889,19.06666667,23.43333333,24.15555556
111,52.66666667,26.23333333,19.54444444,23.18888889,24.2
112,53,26.46666667,19.55555556,23.27777778,24.38888889
113,52.9,26.61111111,19.82222222,23.3,24.26666667
114,53.3,26.75555556,20.25555556,23.31111111,24.51111111
115,53.36666667,26.73333333,20.76666667,23.35555556,24.33333333
116,53.46666667,26.62222222,20.84444444,23.53333333,24.42222222
117,54.9,26.62222222,20.75555556,23.4,24.36666667
118,55.1,26.71111111,20.7,23.17777778,24.45555556
119,55.36666667,26.73333333,20.6,23.28888889,24.66666667
120,55.5,26.71111111,20.67777778,23.52222222,24.37777778
121,55,27.03333333,20.94444444,23.71111111,24.95555556
122,54.76666667,26.98888889,20.31111111,23.63333333,25.98888889
123,55.03333333,27.07777778,20.13333333,23.52222222,25.34444444
124,55.03333333,26.95555556,20.01111111,23.75555556,25.53333333
125,55.23333333,27.08888889,20.25555556,23.75555556,26.2
126,55.3,27.04444444,20.63333333,23.56666667,25.43333333
127,55.6,27.03333333,21.25555556,23.63333333,25.38888889
128,55.66666667,27.06666667,21.24444444,24.21111111,25.8
129,55.53333333,26.8,20.65555556,24.31111111,26.22222222
130,55.66666667,26.88888889,20.6,23.76666667,26.21111111
131,55.56666667,27.15555556,20.76666667,24.02222222,26.56666667
132,55.2,27.08888889,20.87777778,24.45555556,26.67777778
133,54.96666667,26.72222222,20.87777778,24.35555556,26.2
134,55.43333333,26.66666667,20.85555556,24.33333333,26.34444444
135,55.46666667,26.63333333,20.78888889,24.22222222,27.02222222
136,55.2,26.57777778,20.45555556,24.28888889,25.73333333
137,55.36666667,27.05555556,20.58888889,24.23333333,25.78888889
138,55.16666667,27.06666667,20.82222222,24.35555556,25.9
139,55.5,27.04444444,21.11111111,24.4,25.3
140,55.8,27.04444444,21.11111111,24.11111111,25.33333333
141,55.8,26.83333333,21.08888889,24.14444444,25.37777778
142,55.73333333,26.86666667,21.15555556,24.3,25.44444444
143,55.66666667,26.86666667,21.67777778,24.14444444,25.65555556
144,55.66666667,26.74444444,21.2,24.07777778,25.6
145,55.16666667,26.75555556,20.97777778,24.15555556,25.92222222
146,55.3,26.7,21.11111111,24.07777778,26.13333333
147,55.1,26.67777778,21,24.21111111,26
148,55.03333333,26.71111111,20.8,24.25555556,25.94444444
149,54.9,26.58888889,20.72222222,24.24444444,26.01111111
150,54.9,26.57777778,21.53333333,24.24444444,26.01111111
151,55.2,26.7,21.81111111,24.45555556,26.53333333
152,55.23333333,26.67777778,22.01111111,24.52222222,26.54444444
153,55.2,26.76666667,22.03333333,24.7,26.76666667
154,55,26.64444444,21.64444444,24.51111111,26.98888889
155,55,26.63333333,21.54444444,24.32222222,26.98888889
156,55.06666667,26.81111111,21.54444444,24.36666667,27.7
157,55.43333333,26.84444444,21.73333333,24.41111111,27.78888889
158,55.4,26.45555556,21.66666667,24.34444444,28.12222222
159,55.33333333,26.31111111,21.66666667,24.41111111,28.07777778
160,55.26666667,26.48888889,21.51111111,24.43333333,27.38888889
161,55.16666667,26.34444444,21.63333333,24.45555556,27.51111111
162,55.03333333,26.18888889,21.52222222,24.46666667,27.53333333
163,55.3,26.16666667,21.74444444,24.44444444,26.76666667
164,55.3,26.25555556,21.63333333,24.44444444,26.33333333
165,55.16666667,26.54444444,21.82222222,24.44444444,26.3
166,55.03333333,26.38888889,21.84444444,24.56666667,26.46666667
167,55.03333333,26.54444444,22.13333333,24.45555556,26.41111111
