Column_1,Column_2,Column_3,Column_4,Column_5,Test,Column_7,Column_8,Training,Column_10,Column_11,Column_12
popSize,nMutations,Mut. Rules Prob.,N instances,Ite.,Min,Avg,SD,Min2,Avg3,SD5,Generations
100,0,0,0,0,48389.1139941935,48683.6990247886,152.745616929485,43368.0513605786,44265.4302225253,490.991236955463,136.7
100,10,5,0,0,47914.9348356347,48145.338861948,180.099698853571,43077.524862218,43800.7142873104,485.829956712592,91.0666666666666
100,10,20,0,0,47852.4646104947,48129.4255097552,109.12277803603,43264.8807231882,43729.0804629526,350.799553934204,47.2
100,10,100,0,0,48115.9164262961,48441.4570011934,211.018857865079,43271.3171939394,43922.0970208451,389.530239131569,15.2666666666666
100,50,5,0,0,47771.1877751944,48206.8287730392,225.042566087683,43143.1177022908,43809.6487631,407.52172703205,41.8
100,50,20,0,0,48167.1575772187,48469.669689754,161.207476181004,43062.9719975945,43867.0216830718,409.569856570158,14.7666666666666
100,50,100,0,0,48438.6453195868,48927.2525328251,241.469880332921,43117.755371841,44408.2017919126,566.375056113009,3.96666666666666
100,10,5,0,1,47638.6694772457,48059.5393709277,246.88494196711,43230.2221183849,43734.8939790695,326.847206673397,65.7
100,10,20,0,1,47979.3397214902,48249.4188344377,243.032905385235,43074.0101923607,43685.1009686723,326.614291163673,27.4333333333333
100,10,100,0,1,48182.158361949,48617.3527610253,224.216207911042,43154.2326858756,44044.0851205264,585.052419323733,7.73333333333333
100,10,5,1,0,47911.0538008878,48311.9796120766,176.881743621635,43036.6692170377,44025.718346385,565.751166083586,133.233333333333
100,10,20,1,0,47826.8699561155,48196.6921325672,202.078852019047,43120.185087635,43949.0632045322,491.144032988217,111.6
100,10,100,1,0,47476.6073509789,48033.185696577,294.364499217882,43056.4831081099,43677.4565559999,348.803405548964,64.2333333333333
100,50,5,1,0,47999.4065126721,48318.2739254546,265.546919129525,43099.640980339,43969.2161378507,619.758434419547,123.133333333333
100,50,20,1,0,47554.8877597476,48197.5098743156,305.609681843315,43080.1094729931,43818.0018277036,477.09618106787,93.9
100,50,100,1,0,47830.4962571108,48141.5957287996,230.422156793353,43244.3306483986,43815.904373158,352.104609952368,47.3333333333333
100,10,5,1,1,47873.7383570199,48292.5214304995,167.83839091622,43020.1796469029,43831.6852691547,519.80430623323,122.833333333333
100,10,20,1,1,47782.9606893706,48140.2357594393,211.876857280615,43112.018043797,43888.9013927791,522.035685530453,104.2
100,10,100,1,1,47792.5524020457,48052.8078706685,216.990369283098,42832.7991414414,43564.0444847163,284.560036222447,58
100,50,5,1,1,47788.6808393235,48407.8279316673,276.463015309994,43187.0280227254,44032.5327152363,540.608025454576,116.2
100,50,20,1,1,47703.1974553962,48177.3125198167,252.560485205114,42916.3850585596,43773.962196555,414.964344722584,93.4666666666666
100,50,100,1,1,47717.4272387485,48141.098527401,252.74874974127,43001.8697972835,43803.5312956984,424.102512056911,44.0666666666666
100,10,5,3,0,48035.5097441128,48254.7985731846,152.123076780999,43183.571558969,43821.7994530406,504.057863044984,121.6
100,10,20,3,0,47750.6162108343,48135.3961795016,210.627744894887,43034.6899877171,43691.7951054717,391.456003586788,99.8333333333333
100,10,100,3,0,47746.9992875963,48044.5524697611,198.744024112991,43270.2209455381,43706.9071813676,447.283013948585,57.4
100,50,5,3,0,47896.9392897908,48265.0975989187,254.795744655592,43003.9066772081,43858.0031297922,434.458830503112,109.666666666666
100,50,20,3,0,47820.0630683113,48113.9608461942,216.870851029008,43212.6737876375,43818.7047714192,448.154115569498,73.8
