Column_1,SEC,Column_3,Column_4,Column_5,Column_6,Column_7,GA,Column_9,Column_10,Column_11,Column_12,Column_13,MGA,Column_15,Column_16,Column_17,Column_18,Column_19
Time(min),3  Sum SEC,3  Vote SEC,5  Sum SEC,5  Vote SEC,7  Sum SEC,7  Vote SEC,3  Sum GA,3  Vote GA,5  Sum GA,5  Vote GA,7  Sum GA,7  Vote GA,3  Sum MGA,3  Vote  MGA,5  Sum MGA,5  Vote MGA,7  Sum MGA,7  Vote MGA
1,397.333333333333,405.5,402.9,408.333333333333,404.933333333333,411.733333333333,398,408.433333333333,404.366666666666,410.4,407.466666666666,413,398.9,411.1,402.6,409.6,407.566666666666,410.766666666666
2,396.733333333333,402.9,400.466666666666,405.166666666666,402.8,409.433333333333,396.866666666666,402.133333333333,401.833333333333,408.533333333333,405.033333333333,410.6,397.466666666666,406.333333333333,400.933333333333,407.833333333333,405.166666666666,409.033333333333
3,396.6,400.366666666666,399.533333333333,404.333333333333,401.533333333333,408.566666666666,395.666666666666,398.933333333333,399.9,404.466666666666,403.1,408.6,396.333333333333,402.566666666666,399.966666666666,406,403.5,407.533333333333
4,396.5,399.3,398.7,403.366666666666,401.166666666666,407.466666666666,395.1,397.166666666666,398.4,401.866666666666,401.666666666666,407.366666666666,395.566666666666,399.133333333333,399.4,404.7,403,406.1
5,396.366666666666,398.9,398.233333333333,402.833333333333,400.666666666666,406.666666666666,395,397,396.866666666666,400.133333333333,400.5,404.633333333333,395,397.766666666666,398.6,403.6,402.333333333333,405.233333333333
6,396.133333333333,398.733333333333,397.666666666666,402.733333333333,400.466666666666,406.233333333333,395,397,395.466666666666,398.166666666666,399.666666666666,402.666666666666,394.666666666666,397.066666666666,397.733333333333,401.833333333333,401.166666666666,404.433333333333
7,395.9,398.7,397.633333333333,401.8,400.166666666666,405.633333333333,395,397,394.766666666666,397.066666666666,398.3,401.666666666666,394.366666666666,396.933333333333,397.166666666666,400.133333333333,400,403.266666666666
8,395.766666666666,398.333333333333,397.433333333333,401.533333333333,399.933333333333,405.5,395,397,394.3,396.766666666666,397.466666666666,400.866666666666,393.866666666666,396.866666666666,396.066666666666,398.566666666666,399.566666666666,402.1
9,395.633333333333,397.333333333333,397.133333333333,401.333333333333,399.7,405.3,395,397,393.766666666666,396,396.1,399.533333333333,393.666666666666,396.6,395.466666666666,397.766666666666,398.766666666666,400.566666666666
10,395.533333333333,397.1,397,401.033333333333,399.6,404.866666666666,395,397,393.4,395.233333333333,395.8,398.733333333333,393.5,396.133333333333,395,396.8,398.466666666666,399.966666666666
11,395.4,397.1,396.833333333333,400.6,399.1,404.5,395,397,393.066666666666,395.1,395.433333333333,397.733333333333,393.4,395.933333333333,394.8,396.1,397.8,399.2
