A Shapiro test is performed to check whether the samples follow a normal distribution.,Column_2,Column_3,Column_4,Column_5,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
4,GA  7  Sum,1.12765267274708e-09,,,Kruskal post-hoc,,,,,,,,,,,,,,,,,,
5,GA  7  Vote,0.140855928569009,,, Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,
6,MGA  3  Sum ,0.464231554866103,,,,,,,,,,,,,,,,,,,,,
7,MGA  3  Vote,0.551618035529723,,,,GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum ,MGA  3  Vote,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum
8,MGA  5  Sum ,0.0487863420358511,,,GA  3  Sum,1.1430565080942858e-27,,,,,,,,,,,,,,,,,
9,MGA  5  Vote ,0.446507810682933,,,GA  3  Vote,0.00489139397478943,1.2384472866348436e-10,,,,,,,,,,,,,,,,
10,MGA  7  Sum,0.174533673982741,,,GA  5  Sum,0.0013543024997934266,9.424410217781179e-10,1,,,,,,,,,,,,,,,
11,MGA  7  Vote ,0.115715167981253,,,GA  5  Vote,0.01230831985479401,2.521560057546378e-11,1,1,,,,,,,,,,,,,,
12,SEC  3  Sum,6.68307395489216e-06,,,GA  7  Sum,4.650381803295141e-11,0.008703085945722297,0.3058063023378118,0.77080335108581,0.1443208744509672,,,,,,,,,,,,,
13,SEC  5  Sum,0.0107286716220402,,,GA  7  Vote,1.574099986330692e-05,3.0321744508264266e-07,1,1,1,1,,,,,,,,,,,,
14,SEC  5  Vote,0.00103293116401657,,,MGA  3  Sum ,3.1160785526684186e-12,0.03738018366850654,0.08629204205579771,0.23890573904267498,0.03790723654006567,1,1,,,,,,,,,,,
15,SEC  7  Sum,0.187885383313897,,,MGA  3  Vote,3.3680277920863546e-14,0.29370906384665807,0.009155043239262774,0.029454942564270285,0.003586439863300934,1,0.675366717745872,1,,,,,,,,,,
16,SEC  7  Vote,0.551776247120309,,,MGA  5  Sum ,1.2644905422436957e-13,0.16814565582128843,0.017897346141031455,0.055156083047439144,0.007244975754028611,1,1,1,1,,,,,,,,,
,,,,,MGA  5  Vote ,4.1592037007298665e-12,0.03227160849261355,0.0990597022792449,0.2715601821798093,0.04384503626503386,1,1,1,1,1,,,,,,,,
"Shapiro–Wilk tests revealed that several methods significantly deviated from normality (p ≤ 0.05), indicating that the normality assumption was not met for all samples.",,,,,MGA  7  Sum,5.380857296465698e-09,0.0004042028063800388,1,1,1,1,1,1,1,1,1,,,,,,,
,,,,,MGA  7  Vote ,1.5606676440434727e-14,0.399938016696974,0.006167491385339554,0.02033956055693011,0.0023710106347428024,1,0.5028477251595163,1,1,1,1,1,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,SEC  3  Sum,4.759222167629858e-17,1,0.00028142020739263404,0.0011104586533312868,9.437824806872365e-05,1,0.04749384347121832,1,1,1,1,1,1,,,,,
Bartlett test,,K-squared,df,p-value,SEC  3  Vote,0.00489139397478943,1.2384472866348436e-10,1,1,1,0.3058063023378118,1,0.08629204205579771,0.009155043239262774,0.017897346141031455,0.0990597022792449,1,0.006167491385339554,0.00028142020739263404,,,,
,,Inf,18,0,SEC  5  Sum,4.1820379397808315e-10,0.002299460450479735,0.8158971361896262,1,0.4089623762790946,1,1,1,1,1,1,1,1,1,0.8158971361896262,,,
"The homoscedasticity assumption was strongly rejected (Bartlett’s test, p < 2.2 × 10⁻¹⁶).",,,,,SEC  5  Vote,0.00017319501604480113,1.67639010245847e-08,1,1,1,1,1,0.9484359521595495,0.14597212470730483,0.2564927859897476,1,1,0.1045514626303435,0.00744530678677472,1,1,,
,,,,,SEC  7  Sum,5.878945232205524e-10,0.0018465620723247826,0.9461339219422799,1,0.4787745621313652,1,1,1,1,1,1,1,1,1,0.9461339219422799,1,1,
,,,,,SEC  7  Vote,0.01165165740162919,2.78123633732006e-11,1,1,1,0.15124588768018413,1,0.039900051136146,0.0038014066560124464,0.007663910705394314,0.046128829591898915,1,0.00251600864677821,0.00010098570391307966,1,0.4270144303834374,1,0.49961830880537106
