A Shapiro test is performed to check whether the samples follow a normal distribution.,Column_2,Column_3,Column_4,Column_5,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,, Kruskal-Wallis test,,,χ²,df,p-value,,,,,,,,,,,,,
1,GP,0.000127026474173071,,,,,,269.747581394132,18,7.678923122264157e-47,,,,,,,,,,,,,
2,GA  5  Sum,2.17850550483996e-07,,,The Kruskal–Wallis test revealed statistically significant differences among the groups.,,,,,,,,,,,,,,,,,,
3,GA  5  Vote,0.00332121094533046,,,,,,,,,,,,,,,,,,,,,
4,GA  7  Sum,0.000278743850622244,,,Kruskal post-hoc,,,,,,,,,,,,,,,,,,
5,GA  7  Vote,0.00430981082817652,,, Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,
6,MGA  3  Sum ,0.259924877205368,,,,,,,,,,,,,,,,,,,,,
7,MGA  3  Vote,0.565813119359333,,,,GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum ,MGA  3  Vote,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum
8,MGA  5  Sum ,0.088589938545655,,,GA  3  Sum,0.0002915463167033453,,,,,,,,,,,,,,,,,
9,MGA  5  Vote ,0.986775629210718,,,GA  3  Vote,1,4.027846339766188e-07,,,,,,,,,,,,,,,,
10,MGA  7  Sum,0.048490125655943,,,GA  5  Sum,1,0.750022586365162,0.3069454629178905,,,,,,,,,,,,,,,
11,MGA  7  Vote ,0.570420860916962,,,GA  5  Vote,1.6359144291664462e-09,1,2.1541076877047608e-13,0.000184873124416048,,,,,,,,,,,,,,
12,SEC  3  Sum,5.78025754726741e-07,,,GA  7  Sum,1,0.06864758404779259,1,1,4.446303793447115e-06,,,,,,,,,,,,,
13,SEC  5  Sum,0.0128880344394344,,,GA  7  Vote,4.33704818661695e-12,0.7849821653961087,2.225188543249085e-16,2.2577346514648856e-06,1,3.157890637612913e-08,,,,,,,,,,,,
14,SEC  5  Vote,0.00120895353653622,,,MGA  3  Sum ,0.2992580758809867,1,0.002725931111256588,1,0.03938423693826362,1,0.0012158751390419443,,,,,,,,,,,
15,SEC  7  Sum,0.198571070262501,,,MGA  3  Vote,1,0.39495047087149077,0.5910038649044859,1,6.642934157517825e-05,1,6.945154813368916e-07,1,,,,,,,,,,
16,SEC  7  Vote,0.0288682961364952,,,MGA  5  Sum ,0.8912912623269781,1,0.011823485409505901,1,0.009983255541337669,1,0.00023772029778147664,1,1,,,,,,,,,
,,,,,MGA  5  Vote ,6.130830739521016e-10,1,6.858626148073975e-14,9.02049748793575e-05,1,1.9756739799961804e-06,1,0.022547258718349665,3.155520784731248e-05,0.005465486293499766,,,,,,,,
"Shapiro–Wilk tests revealed that several methods significantly deviated from normality (p ≤ 0.05), indicating that the normality assumption was not met for all samples.",,,,,MGA  7  Sum,0.5512794166079121,1,0.006172446038675526,1,0.018815800538019713,1,0.0005039398113490672,1,1,1,0.010511689968796156,,,,,,,
,,,,,MGA  7  Vote ,2.9892363402285055e-12,0.674994718311578,1.4501333526371985e-16,1.7041490281744779e-06,1,2.3078949681674217e-08,1,0.0009699524728325813,5.193947217712053e-07,0.00018672067677680932,1,0.0003986149088236004,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,SEC  3  Sum,0.09683575674044717,1,0.0006166949104351116,1,0.1306011733067305,1,0.005145977691457047,1,1,1,0.07797196753870839,1,0.004165482603366243,,,,,
Bartlett test,,K-squared,df,p-value,SEC  3  Vote,1,4.027846339766188e-07,1,0.3069454629178905,2.1541076877047608e-13,1,2.225188543249085e-16,0.002725931111256588,0.5910038649044859,0.011823485409505901,6.858626148073975e-14,0.006172446038675526,1.4501333526371985e-16,0.0006166949104351116,,,,
,,Inf,18,0,SEC  5  Sum,1,1,0.05974256414323776,1,0.001665796415201393,1,2.898896527673097e-05,1,1,1,0.000863991854220288,1,2.2347778604760636e-05,1,0.05974256414323776,,,
"The homoscedasticity assumption was strongly rejected (Bartlett’s test, p < 2.2 × 10⁻¹⁶).",,,,,SEC  5  Vote,0.005522117780952754,1,1.569683218388169e-05,1,1,0.6176217335598536,0.09122347886599887,1,1,1,0.8848211872387178,1,0.07626485773032278,1,1.569683218388169e-05,1,,
,,,,,SEC  7  Sum,5.7708929097534006e-05,1,5.541199048617643e-08,0.2655506552730022,1,0.019808672034793025,1,1,0.13190817944942013,1,1,1,1,1,5.541199048617643e-08,1,1,
,,,,,SEC  7  Vote,6.126084079816378e-06,1,3.6657294665511704e-09,0.060192437183194926,1,0.0034361739749976788,1,1,0.027700071887132402,1,1,1,1,1,3.6657294665511704e-09,0.3089984094601761,1,1
