A Shapiro test is performed to check whether the samples follow a normal distribution.,Column_2,Column_3,Column_4,Column_5,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",,,,,,,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,, Kruskal-Wallis test,,,χ²,df,p-value,,,,,,,,,,,,,,,,,,
1,3 5 5 V,0.565813119359333,,,,,,124.72134997688408,23,5.842434162512977e-16,,,,,,,,,,,,,,,,,,
2,3 20 5 V,0.0586471862271828,,,The Kruskal–Wallis test revealed statistically significant differences among the groups.,,,,,,,,,,,,,,,,,,,,,,,
3,3 5 20 V,0.682840860534029,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3 20 20 V,0.544562042159179,,,Kruskal post-hoc,,,,,,,,,,,,,,,,,,,,,,,
5,5 5 5 V,0.986775629210718,,, Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,,,,,,
6,5 20 5 V,0.515204814415332,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5 5 20 V,0.146041026495488,,,,3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S
8,5 20 20 V,0.0338741606415748,,,3 20 5 V,1,,,,,,,,,,,,,,,,,,,,,,
9,7 5 5 V,0.570420860916962,,,3 5 20 V,1,1,,,,,,,,,,,,,,,,,,,,,
10,7 20 5 V,0.441196919184051,,,3 20 20 V,1,1,1,,,,,,,,,,,,,,,,,,,,
11,7 5 20 V,0.585507438348072,,,5 5 5 V,5.173104013016877e-05,1,0.1971319047732691,1,,,,,,,,,,,,,,,,,,,
12,7 20 20 V,0.829383773648202,,,5 20 5 V,0.005836920969023254,1,1,1,1,,,,,,,,,,,,,,,,,,
13,3 5 5 S,0.259924877205368,,,5 5 20 V,0.00015244409730497103,1,0.4067015294119104,1,1,1,,,,,,,,,,,,,,,,,
14,3 20 5 S,0.318381721295424,,,5 20 20 V,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
15,3 5 20 S,0.0411289542517232,,,7 5 5 V,8.111884211055835e-08,0.036865188584321945,0.0021127079164050835,0.061129823846093466,1,1,1,0.04158053902844536,,,,,,,,,,,,,,,
16,3 20 20 S,0.00266761254655139,,,7 20 5 V,0.11883538390949981,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
17,5 5 5 S,0.088589938545655,,,7 5 20 V,0.0014651738744012601,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
18,5 20 5 S,0.0199934361163289,,,7 20 20 V,4.229234965492116e-05,1,0.17201436444351123,1,1,1,1,1,1,1,1,,,,,,,,,,,,
19,5 5 20 S,0.166024952632636,,,3 5 5 S,1,1,1,1,0.00869148245185569,0.37481341169780114,0.02084277214788681,1,4.130633555655184e-05,1,0.12686609027784132,0.007378245527104473,,,,,,,,,,,
20,5 20 20 S,0.0150620520956566,,,3 20 5 S,1,1,1,1,1,1,1,1,0.08718270321949342,1,1,1,1,,,,,,,,,,
21,7 5 5 S,0.048490125655943,,,3 5 20 S,1,1,1,1,0.010936814221672503,0.4495962264670186,0.025959063850673172,1,5.493942956363988e-05,1,0.1544548471050043,0.009301775297333512,1,1,,,,,,,,,
22,7 20 5 S,0.0124641807683883,,,3 20 20 S,1,1,1,1,0.045483635320258876,1,0.10102576787378953,1,0.00032692371209949364,1,0.519057740639186,0.0391560657757426,1,1,1,,,,,,,,
23,7 5 20 S,0.0760433085106148,,,5 5 5 S,1,1,1,1,0.0006281409892190439,0.04537071100085753,0.0016824777854266228,1,1.6455854170646264e-06,0.6606718546848921,0.013083997009559485,0.0005225656259567772,1,1,1,1,,,,,,,
24,7 20 20 S,0.359385919879375,,,5 20 5 S,1,1,1,1,0.6485330650376262,1,1,1,0.009899010575325388,1,1,0.5726884558251873,1,1,1,1,1,,,,,,
,,,,,5 5 20 S,1,1,1,1,0.7924085088054451,1,1,1,0.012876506901647738,1,1,0.7012143255670312,1,1,1,1,1,1,,,,,
"The Shapiro–Wilk test was applied to each method. Samples with constant values were excluded, as the test is not defined for distributions with zero variance.",,,,,5 20 20 S,1,1,1,1,1,1,1,1,0.021558099298636148,1,1,1,1,1,1,1,1,1,1,,,,
"Shapiro–Wilk tests revealed that several methods significantly deviated from normality (p ≤ 0.05), indicating that the normality assumption was not met for all samples.",,,,,7 5 5 S,1,1,1,1,0.0029099231731810624,0.15659961409941686,0.007317806832959544,1,1.07050262370961e-05,1,0.04948420057236035,0.0024488912648748563,1,1,1,1,1,1,1,1,,,
,,,,,7 20 5 S,0.7717772831122586,1,1,1,1,1,1,1,0.2550504389459098,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,7 5 20 S,1,1,1,1,0.30826728677592957,1,0.6209993384260052,1,0.0037598073458036158,1,1,0.2701657406959603,1,1,1,1,1,1,1,1,1,1,
A Bartlett test is performed to assess the homogeneity of variances among the groups.,,,,,7 20 20 S,1,1,1,1,1,1,1,1,0.08212041751253292,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bartlett test,,K-squared,df,p-value,,,,,,,,,,,,,,,,,,,,,,,,
,,94.99639431641,23,1.0156940014662944e-10,,,,,,,,,,,,,,,,,,,,,,,,
"The homoscedasticity assumption was strongly rejected (Bartlett’s test, p < 0.05).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
