Ablation study,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
Number of Vehicles,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Training,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,,,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,,,,,,,,,,,,,,,,,,,,
3 20 5 S,1.1490837889169005e-9,1,0.34691466517039543,0.5759913004526647,1,1,1,1.031105063688643e-14,1,0.17196294865874098,1,8.719562494213862e-19,0.00020158721337088022,,,,,,,,,,
3 5 20 S,4.2999349270549475e-10,1,0.2125329035057863,0.35967216366808424,1,1,1,3.1528524457407624e-15,1,0.10271394306405324,1,2.3154000593738236e-19,0.00009840301135989138,1,,,,,,,,,
3 20 20 S,1.0027996334962249e-7,1,1,1,1,1,1,2.3738198447523666e-12,1,1,1,3.954516304666457e-16,0.004918093347138812,1,1,,,,,,,,
5 5 5 S,1,1,1,1,1,1,0.14963354181668392,0.00616651988530116,0.1606229929724452,1,0.008195924359873038,0.00003633927364786193,1,0.008017080081159875,0.004335436814080534,0.1198709118687105,,,,,,,
5 20 5 S,0.00196191374127547,1,1,1,1,1,1,6.166205210497594e-7,1,1,1,6.291541638665255e-10,1,1,1,1,1,,,,,,
5 5 20 S,5.434040894707715e-8,1,1,1,1,1,1,1.1199318004013444e-12,1,1,1,1.6934262422638465e-16,0.003196324822208535,1,1,1,0.0835263002201577,1,,,,,
5 20 20 S,1,0.7023383750795875,1,1,0.542371162343678,0.45837261144443314,0.0007508736690822061,0.725208775995652,0.000824347792588506,1,0.000017625984279099826,0.014461592720178452,1,0.000017138848799532136,0.000007868144650748393,0.0005610157515755322,1,0.8177928595879949,0.00034965517231607437,,,,
7 5 5 S,1,1,1,1,0.8203026685564058,0.6972662480522344,0.0013719465353063166,0.47740316236084923,0.0015027333125640812,1,0.000035116136399948,0.008424815122145555,1,0.00003416639637128187,0.000015949353369683642,0.001032385440210909,1,1,0.0006508180243729292,1,,,
7 20 5 S,1,0.07579589535008249,1,0.8623034958470281,0.05594855829463514,0.045935407466161364,0.00003008767784095785,1,0.00003341307712606178,1,4.587502121164347e-7,0.1699899261088561,1,4.447214435341099e-7,1.8786139842457538e-7,0.000021694379953492344,1,0.09067150282055585,0.00001277334990068675,1,1,,
7 5 20 S,1,1,1,1,1,1,0.0044730133152635415,0.19467268065065832,0.004876576211302804,1,0.00013651458892841844,0.002675209319397537,1,0.0001329868835380867,0.00006422519830802105,0.0034150563595694112,1,1,0.002203343123577163,1,1,1,
